religion,industry,column,staff_category,breakdown,value
moslems,II. Salt and extraction of bitumen from Dead Sea,35,Clerical staff — clerical,"Palestinian others, females",0
moslems,II. Salt and extraction of bitumen from Dead Sea,36,Clerical staff — clerical,"non-Palestinian, males",0
moslems,II. Salt and extraction of bitumen from Dead Sea,37,Clerical staff — clerical,"non-Palestinian, females",0
moslems,II. Salt and extraction of bitumen from Dead Sea,38,Operatives under 17 years,"persons, total",0
moslems,II. Salt and extraction of bitumen from Dead Sea,39,Operatives under 17 years,"persons, males",0
moslems,II. Salt and extraction of bitumen from Dead Sea,40,Operatives under 17 years,"persons, females",0
moslems,II. Salt and extraction of bitumen from Dead Sea,41,Operatives under 17 years,"Palestinian Arabs, males",0
moslems,II. Salt and extraction of bitumen from Dead Sea,42,Operatives under 17 years,"Palestinian Arabs, females",0
moslems,II. Salt and extraction of bitumen from Dead Sea,43,Operatives under 17 years,"Palestinian Jews, males",0
moslems,II. Salt and extraction of bitumen from Dead Sea,44,Operatives under 17 years,"Palestinian Jews, females",0
moslems,II. Salt and extraction of bitumen from Dead Sea,45,Operatives under 17 years,"Palestinian others, males",0
moslems,II. Salt and extraction of bitumen from Dead Sea,46,Operatives under 17 years,"Palestinian others, females",0
moslems,II. Salt and extraction of bitumen from Dead Sea,47,Operatives under 17 years,"non-Palestinian, males",0
moslems,II. Salt and extraction of bitumen from Dead Sea,48,Operatives under 17 years,"non-Palestinian, females",0
moslems,II. Salt and extraction of bitumen from Dead Sea,49,Operatives 17 years and over,"persons, total",0
moslems,II. Salt and extraction of bitumen from Dead Sea,50,Operatives 17 years and over,"persons, males",0
moslems,II. Salt and extraction of bitumen from Dead Sea,51,Operatives 17 years and over,"persons, females",0
moslems,II. Salt and extraction of bitumen from Dead Sea,52,Operatives 17 years and over,"Palestinian Arabs, males",0
moslems,II. Salt and extraction of bitumen from Dead Sea,53,Operatives 17 years and over,"Palestinian Arabs, females",0
moslems,II. Salt and extraction of bitumen from Dead Sea,54,Operatives 17 years and over,"Palestinian Jews, males",0
moslems,II. Salt and extraction of bitumen from Dead Sea,55,Operatives 17 years and over,"Palestinian Jews, females",0
moslems,II. Salt and extraction of bitumen from Dead Sea,56,Operatives 17 years and over,"Palestinian others, males",0
moslems,II. Salt and extraction of bitumen from Dead Sea,57,Operatives 17 years and over,"Palestinian others, females",0
moslems,II. Salt and extraction of bitumen from Dead Sea,58,Operatives 17 years and over,"non-Palestinian, males",0
moslems,II. Salt and extraction of bitumen from Dead Sea,59,Operatives 17 years and over,"non-Palestinian, females",0
moslems,III. Textile industries,2,total population engaged,persons,0
moslems,III. Textile industries,3,total population engaged,males,0
moslems,III. Textile industries,4,total population engaged,females,0
moslems,III. Textile industries,5,Directional & supervising staff — managers,"persons, total",0
moslems,III. Textile industries,6,Directional & supervising staff — managers,"persons, males",0
moslems,III. Textile industries,7,Directional & supervising staff — managers,"persons, females",0
moslems,III. Textile industries,8,Directional & supervising staff — managers,"Palestinian Arabs, males",0
moslems,III. Textile industries,9,Directional & supervising staff — managers,"Palestinian Arabs, females",0
moslems,III. Textile industries,10,Directional & supervising staff — managers,"Palestinian Jews, males",0
moslems,III. Textile industries,11,Directional & supervising staff — managers,"Palestinian Jews, females",0
moslems,III. Textile industries,12,Directional & supervising staff — managers,"Palestinian others, males",0
moslems,III. Textile industries,13,Directional & supervising staff — managers,"Palestinian others, females",0
moslems,III. Textile industries,14,Directional & supervising staff — managers,"non-Palestinian, males",0
moslems,III. Textile industries,15,Directional & supervising staff — managers,"non-Palestinian, females",0
moslems,III. Textile industries,16,Directional & supervising staff — supervising & technical,"persons, total",0
moslems,III. Textile industries,17,Directional & supervising staff — supervising & technical,"persons, males",0
moslems,III. Textile industries,18,Directional & supervising staff — supervising & technical,"persons, females",0
moslems,III. Textile industries,19,Directional & supervising staff — supervising & technical,"Palestinian Arabs, males",0
moslems,III. Textile industries,20,Directional & supervising staff — supervising & technical,"Palestinian Arabs, females",0
moslems,III. Textile industries,21,Directional & supervising staff — supervising & technical,"Palestinian Jews, males",0
moslems,III. Textile industries,22,Directional & supervising staff — supervising & technical,"Palestinian Jews, females",0
moslems,III. Textile industries,23,Directional & supervising staff — supervising & technical,"Palestinian others, males",0
moslems,III. Textile industries,24,Directional & supervising staff — supervising & technical,"Palestinian others, females",0
moslems,III. Textile industries,25,Directional & supervising staff — supervising & technical,"non-Palestinian, males",0
moslems,III. Textile industries,26,Directional & supervising staff — supervising & technical,"non-Palestinian, females",0
moslems,III. Textile industries,27,Clerical staff — clerical,"persons, total",0
moslems,III. Textile industries,28,Clerical staff — clerical,"persons, males",0
moslems,III. Textile industries,29,Clerical staff — clerical,"persons, females",0
moslems,III. Textile industries,30,Clerical staff — clerical,"Palestinian Arabs, males",0
moslems,III. Textile industries,31,Clerical staff — clerical,"Palestinian Arabs, females",0
moslems,III. Textile industries,32,Clerical staff — clerical,"Palestinian Jews, males",0
moslems,III. Textile industries,33,Clerical staff — clerical,"Palestinian Jews, females",0
moslems,III. Textile industries,34,Clerical staff — clerical,"Palestinian others, males",0
moslems,III. Textile industries,35,Clerical staff — clerical,"Palestinian others, females",0
moslems,III. Textile industries,36,Clerical staff — clerical,"non-Palestinian, males",0
moslems,III. Textile industries,37,Clerical staff — clerical,"non-Palestinian, females",0
moslems,III. Textile industries,38,Operatives under 17 years,"persons, total",0
moslems,III. Textile industries,39,Operatives under 17 years,"persons, males",0
moslems,III. Textile industries,40,Operatives under 17 years,"persons, females",0
moslems,III. Textile industries,41,Operatives under 17 years,"Palestinian Arabs, males",0
moslems,III. Textile industries,42,Operatives under 17 years,"Palestinian Arabs, females",0
moslems,III. Textile industries,43,Operatives under 17 years,"Palestinian Jews, males",0
moslems,III. Textile industries,44,Operatives under 17 years,"Palestinian Jews, females",0
moslems,III. Textile industries,45,Operatives under 17 years,"Palestinian others, males",0
moslems,III. Textile industries,46,Operatives under 17 years,"Palestinian others, females",0
moslems,III. Textile industries,47,Operatives under 17 years,"non-Palestinian, males",0
moslems,III. Textile industries,48,Operatives under 17 years,"non-Palestinian, females",0
moslems,III. Textile industries,49,Operatives 17 years and over,"persons, total",0
moslems,III. Textile industries,50,Operatives 17 years and over,"persons, males",0
moslems,III. Textile industries,51,Operatives 17 years and over,"persons, females",0
moslems,III. Textile industries,52,Operatives 17 years and over,"Palestinian Arabs, males",0
moslems,III. Textile industries,53,Operatives 17 years and over,"Palestinian Arabs, females",0
moslems,III. Textile industries,54,Operatives 17 years and over,"Palestinian Jews, males",0
moslems,III. Textile industries,55,Operatives 17 years and over,"Palestinian Jews, females",0
moslems,III. Textile industries,56,Operatives 17 years and over,"Palestinian others, males",0
moslems,III. Textile industries,57,Operatives 17 years and over,"Palestinian others, females",0
moslems,III. Textile industries,58,Operatives 17 years and over,"non-Palestinian, males",0
moslems,III. Textile industries,59,Operatives 17 years and over,"non-Palestinian, females",0
moslems,IV. Leather industries,2,total population engaged,persons,0
moslems,IV. Leather industries,3,total population engaged,males,0
moslems,IV. Leather industries,4,total population engaged,females,0
moslems,IV. Leather industries,5,Directional & supervising staff — managers,"persons, total",0
moslems,IV. Leather industries,6,Directional & supervising staff — managers,"persons, males",0
moslems,IV. Leather industries,7,Directional & supervising staff — managers,"persons, females",0
moslems,IV. Leather industries,8,Directional & supervising staff — managers,"Palestinian Arabs, males",0
moslems,IV. Leather industries,9,Directional & supervising staff — managers,"Palestinian Arabs, females",0
moslems,IV. Leather industries,10,Directional & supervising staff — managers,"Palestinian Jews, males",0
moslems,IV. Leather industries,11,Directional & supervising staff — managers,"Palestinian Jews, females",0
moslems,IV. Leather industries,12,Directional & supervising staff — managers,"Palestinian others, males",0
moslems,IV. Leather industries,13,Directional & supervising staff — managers,"Palestinian others, females",0
moslems,IV. Leather industries,14,Directional & supervising staff — managers,"non-Palestinian, males",0
moslems,IV. Leather industries,15,Directional & supervising staff — managers,"non-Palestinian, females",0
moslems,IV. Leather industries,16,Directional & supervising staff — supervising & technical,"persons, total",0
moslems,IV. Leather industries,17,Directional & supervising staff — supervising & technical,"persons, males",0
moslems,IV. Leather industries,18,Directional & supervising staff — supervising & technical,"persons, females",0
moslems,IV. Leather industries,19,Directional & supervising staff — supervising & technical,"Palestinian Arabs, males",0
moslems,IV. Leather industries,20,Directional & supervising staff — supervising & technical,"Palestinian Arabs, females",0
moslems,IV. Leather industries,21,Directional & supervising staff — supervising & technical,"Palestinian Jews, males",0
moslems,IV. Leather industries,22,Directional & supervising staff — supervising & technical,"Palestinian Jews, females",0
moslems,IV. Leather industries,23,Directional & supervising staff — supervising & technical,"Palestinian others, males",0
moslems,IV. Leather industries,24,Directional & supervising staff — supervising & technical,"Palestinian others, females",0
moslems,IV. Leather industries,25,Directional & supervising staff — supervising & technical,"non-Palestinian, males",0
moslems,IV. Leather industries,26,Directional & supervising staff — supervising & technical,"non-Palestinian, females",0
moslems,IV. Leather industries,27,Clerical staff — clerical,"persons, total",0
moslems,IV. Leather industries,28,Clerical staff — clerical,"persons, males",0
moslems,IV. Leather industries,29,Clerical staff — clerical,"persons, females",0
moslems,IV. Leather industries,30,Clerical staff — clerical,"Palestinian Arabs, males",0
moslems,IV. Leather industries,31,Clerical staff — clerical,"Palestinian Arabs, females",0
moslems,IV. Leather industries,32,Clerical staff — clerical,"Palestinian Jews, males",0
moslems,IV. Leather industries,33,Clerical staff — clerical,"Palestinian Jews, females",0
moslems,IV. Leather industries,34,Clerical staff — clerical,"Palestinian others, males",0
moslems,IV. Leather industries,35,Clerical staff — clerical,"Palestinian others, females",0
moslems,IV. Leather industries,36,Clerical staff — clerical,"non-Palestinian, males",0
moslems,IV. Leather industries,37,Clerical staff — clerical,"non-Palestinian, females",0
moslems,IV. Leather industries,38,Operatives under 17 years,"persons, total",0
moslems,IV. Leather industries,39,Operatives under 17 years,"persons, males",0
moslems,IV. Leather industries,40,Operatives under 17 years,"persons, females",0
moslems,IV. Leather industries,41,Operatives under 17 years,"Palestinian Arabs, males",0
moslems,IV. Leather industries,42,Operatives under 17 years,"Palestinian Arabs, females",0
moslems,IV. Leather industries,43,Operatives under 17 years,"Palestinian Jews, males",0
moslems,IV. Leather industries,44,Operatives under 17 years,"Palestinian Jews, females",0
moslems,IV. Leather industries,45,Operatives under 17 years,"Palestinian others, males",0
moslems,IV. Leather industries,46,Operatives under 17 years,"Palestinian others, females",0
moslems,IV. Leather industries,47,Operatives under 17 years,"non-Palestinian, males",0
moslems,IV. Leather industries,48,Operatives under 17 years,"non-Palestinian, females",0
moslems,IV. Leather industries,49,Operatives 17 years and over,"persons, total",0
moslems,IV. Leather industries,50,Operatives 17 years and over,"persons, males",0
moslems,IV. Leather industries,51,Operatives 17 years and over,"persons, females",0
moslems,IV. Leather industries,52,Operatives 17 years and over,"Palestinian Arabs, males",0
moslems,IV. Leather industries,53,Operatives 17 years and over,"Palestinian Arabs, females",0
moslems,IV. Leather industries,54,Operatives 17 years and over,"Palestinian Jews, males",0
moslems,IV. Leather industries,55,Operatives 17 years and over,"Palestinian Jews, females",0
moslems,IV. Leather industries,56,Operatives 17 years and over,"Palestinian others, males",0
moslems,IV. Leather industries,57,Operatives 17 years and over,"Palestinian others, females",0
moslems,IV. Leather industries,58,Operatives 17 years and over,"non-Palestinian, males",0
moslems,IV. Leather industries,59,Operatives 17 years and over,"non-Palestinian, females",0
moslems,V. Wood industries,2,total population engaged,persons,0
moslems,V. Wood industries,3,total population engaged,males,0
moslems,V. Wood industries,4,total population engaged,females,0
moslems,V. Wood industries,5,Directional & supervising staff — managers,"persons, total",0
moslems,V. Wood industries,6,Directional & supervising staff — managers,"persons, males",0
moslems,V. Wood industries,7,Directional & supervising staff — managers,"persons, females",0
moslems,V. Wood industries,8,Directional & supervising staff — managers,"Palestinian Arabs, males",0
moslems,V. Wood industries,9,Directional & supervising staff — managers,"Palestinian Arabs, females",0
moslems,V. Wood industries,10,Directional & supervising staff — managers,"Palestinian Jews, males",0
moslems,V. Wood industries,11,Directional & supervising staff — managers,"Palestinian Jews, females",0
moslems,V. Wood industries,12,Directional & supervising staff — managers,"Palestinian others, males",0
moslems,V. Wood industries,13,Directional & supervising staff — managers,"Palestinian others, females",0
moslems,V. Wood industries,14,Directional & supervising staff — managers,"non-Palestinian, males",0
moslems,V. Wood industries,15,Directional & supervising staff — managers,"non-Palestinian, females",0
moslems,V. Wood industries,16,Directional & supervising staff — supervising & technical,"persons, total",0
moslems,V. Wood industries,17,Directional & supervising staff — supervising & technical,"persons, males",0
moslems,V. Wood industries,18,Directional & supervising staff — supervising & technical,"persons, females",0
moslems,V. Wood industries,19,Directional & supervising staff — supervising & technical,"Palestinian Arabs, males",0
moslems,V. Wood industries,20,Directional & supervising staff — supervising & technical,"Palestinian Arabs, females",0
moslems,V. Wood industries,21,Directional & supervising staff — supervising & technical,"Palestinian Jews, males",0
moslems,V. Wood industries,22,Directional & supervising staff — supervising & technical,"Palestinian Jews, females",0
moslems,V. Wood industries,23,Directional & supervising staff — supervising & technical,"Palestinian others, males",0
moslems,V. Wood industries,24,Directional & supervising staff — supervising & technical,"Palestinian others, females",0
moslems,V. Wood industries,25,Directional & supervising staff — supervising & technical,"non-Palestinian, males",0
moslems,V. Wood industries,26,Directional & supervising staff — supervising & technical,"non-Palestinian, females",0
moslems,V. Wood industries,27,Clerical staff — clerical,"persons, total",0
moslems,V. Wood industries,28,Clerical staff — clerical,"persons, males",0
moslems,V. Wood industries,29,Clerical staff — clerical,"persons, females",0
moslems,V. Wood industries,30,Clerical staff — clerical,"Palestinian Arabs, males",0
moslems,V. Wood industries,31,Clerical staff — clerical,"Palestinian Arabs, females",0
moslems,V. Wood industries,32,Clerical staff — clerical,"Palestinian Jews, males",0
moslems,V. Wood industries,33,Clerical staff — clerical,"Palestinian Jews, females",0
moslems,V. Wood industries,34,Clerical staff — clerical,"Palestinian others, males",0
moslems,V. Wood industries,35,Clerical staff — clerical,"Palestinian others, females",0
moslems,V. Wood industries,36,Clerical staff — clerical,"non-Palestinian, males",0
moslems,V. Wood industries,37,Clerical staff — clerical,"non-Palestinian, females",0
moslems,V. Wood industries,38,Operatives under 17 years,"persons, total",0
moslems,V. Wood industries,39,Operatives under 17 years,"persons, males",0
moslems,V. Wood industries,40,Operatives under 17 years,"persons, females",0
moslems,V. Wood industries,41,Operatives under 17 years,"Palestinian Arabs, males",0
moslems,V. Wood industries,42,Operatives under 17 years,"Palestinian Arabs, females",0
moslems,V. Wood industries,43,Operatives under 17 years,"Palestinian Jews, males",0
moslems,V. Wood industries,44,Operatives under 17 years,"Palestinian Jews, females",0
moslems,V. Wood industries,45,Operatives under 17 years,"Palestinian others, males",0
moslems,V. Wood industries,46,Operatives under 17 years,"Palestinian others, females",0
moslems,V. Wood industries,47,Operatives under 17 years,"non-Palestinian, males",0
moslems,V. Wood industries,48,Operatives under 17 years,"non-Palestinian, females",0
moslems,V. Wood industries,49,Operatives 17 years and over,"persons, total",0
moslems,V. Wood industries,50,Operatives 17 years and over,"persons, males",0
moslems,V. Wood industries,51,Operatives 17 years and over,"persons, females",0
moslems,V. Wood industries,52,Operatives 17 years and over,"Palestinian Arabs, males",0
moslems,V. Wood industries,53,Operatives 17 years and over,"Palestinian Arabs, females",0
moslems,V. Wood industries,54,Operatives 17 years and over,"Palestinian Jews, males",0
moslems,V. Wood industries,55,Operatives 17 years and over,"Palestinian Jews, females",0
moslems,V. Wood industries,56,Operatives 17 years and over,"Palestinian others, males",0
moslems,V. Wood industries,57,Operatives 17 years and over,"Palestinian others, females",0
moslems,V. Wood industries,58,Operatives 17 years and over,"non-Palestinian, males",0
moslems,V. Wood industries,59,Operatives 17 years and over,"non-Palestinian, females",0
moslems,VI. Metal industries,2,total population engaged,persons,1
moslems,VI. Metal industries,3,total population engaged,males,1
moslems,VI. Metal industries,4,total population engaged,females,0
moslems,VI. Metal industries,5,Directional & supervising staff — managers,"persons, total",0
moslems,VI. Metal industries,6,Directional & supervising staff — managers,"persons, males",0
moslems,VI. Metal industries,7,Directional & supervising staff — managers,"persons, females",0
moslems,VI. Metal industries,8,Directional & supervising staff — managers,"Palestinian Arabs, males",0
moslems,VI. Metal industries,9,Directional & supervising staff — managers,"Palestinian Arabs, females",0
moslems,VI. Metal industries,10,Directional & supervising staff — managers,"Palestinian Jews, males",0
moslems,VI. Metal industries,11,Directional & supervising staff — managers,"Palestinian Jews, females",0
moslems,VI. Metal industries,12,Directional & supervising staff — managers,"Palestinian others, males",0
moslems,VI. Metal industries,13,Directional & supervising staff — managers,"Palestinian others, females",0
moslems,VI. Metal industries,14,Directional & supervising staff — managers,"non-Palestinian, males",0
moslems,VI. Metal industries,15,Directional & supervising staff — managers,"non-Palestinian, females",0
moslems,VI. Metal industries,16,Directional & supervising staff — supervising & technical,"persons, total",0
moslems,VI. Metal industries,17,Directional & supervising staff — supervising & technical,"persons, males",0
moslems,VI. Metal industries,18,Directional & supervising staff — supervising & technical,"persons, females",0
moslems,VI. Metal industries,19,Directional & supervising staff — supervising & technical,"Palestinian Arabs, males",0
moslems,VI. Metal industries,20,Directional & supervising staff — supervising & technical,"Palestinian Arabs, females",0
moslems,VI. Metal industries,21,Directional & supervising staff — supervising & technical,"Palestinian Jews, males",0
moslems,VI. Metal industries,22,Directional & supervising staff — supervising & technical,"Palestinian Jews, females",0
moslems,VI. Metal industries,23,Directional & supervising staff — supervising & technical,"Palestinian others, males",0
moslems,VI. Metal industries,24,Directional & supervising staff — supervising & technical,"Palestinian others, females",0
moslems,VI. Metal industries,25,Directional & supervising staff — supervising & technical,"non-Palestinian, males",0
moslems,VI. Metal industries,26,Directional & supervising staff — supervising & technical,"non-Palestinian, females",0
moslems,VI. Metal industries,27,Clerical staff — clerical,"persons, total",0
moslems,VI. Metal industries,28,Clerical staff — clerical,"persons, males",0
moslems,VI. Metal industries,29,Clerical staff — clerical,"persons, females",0
moslems,VI. Metal industries,30,Clerical staff — clerical,"Palestinian Arabs, males",0
moslems,VI. Metal industries,31,Clerical staff — clerical,"Palestinian Arabs, females",0
moslems,VI. Metal industries,32,Clerical staff — clerical,"Palestinian Jews, males",0
moslems,VI. Metal industries,33,Clerical staff — clerical,"Palestinian Jews, females",0
moslems,VI. Metal industries,34,Clerical staff — clerical,"Palestinian others, males",0
moslems,VI. Metal industries,35,Clerical staff — clerical,"Palestinian others, females",0
moslems,VI. Metal industries,36,Clerical staff — clerical,"non-Palestinian, males",0
moslems,VI. Metal industries,37,Clerical staff — clerical,"non-Palestinian, females",0
moslems,VI. Metal industries,38,Operatives under 17 years,"persons, total",0
moslems,VI. Metal industries,39,Operatives under 17 years,"persons, males",0
moslems,VI. Metal industries,40,Operatives under 17 years,"persons, females",0
moslems,VI. Metal industries,41,Operatives under 17 years,"Palestinian Arabs, males",0
moslems,VI. Metal industries,42,Operatives under 17 years,"Palestinian Arabs, females",0
moslems,VI. Metal industries,43,Operatives under 17 years,"Palestinian Jews, males",0
moslems,VI. Metal industries,44,Operatives under 17 years,"Palestinian Jews, females",0
moslems,VI. Metal industries,45,Operatives under 17 years,"Palestinian others, males",0
moslems,VI. Metal industries,46,Operatives under 17 years,"Palestinian others, females",0
moslems,VI. Metal industries,47,Operatives under 17 years,"non-Palestinian, males",0
moslems,VI. Metal industries,48,Operatives under 17 years,"non-Palestinian, females",0
moslems,VI. Metal industries,49,Operatives 17 years and over,"persons, total",1
moslems,VI. Metal industries,50,Operatives 17 years and over,"persons, males",1
moslems,VI. Metal industries,51,Operatives 17 years and over,"persons, females",0
moslems,VI. Metal industries,52,Operatives 17 years and over,"Palestinian Arabs, males",1
moslems,VI. Metal industries,53,Operatives 17 years and over,"Palestinian Arabs, females",0
moslems,VI. Metal industries,54,Operatives 17 years and over,"Palestinian Jews, males",0
moslems,VI. Metal industries,55,Operatives 17 years and over,"Palestinian Jews, females",0
moslems,VI. Metal industries,56,Operatives 17 years and over,"Palestinian others, males",0
moslems,VI. Metal industries,57,Operatives 17 years and over,"Palestinian others, females",0
moslems,VI. Metal industries,58,Operatives 17 years and over,"non-Palestinian, males",0
moslems,VI. Metal industries,59,Operatives 17 years and over,"non-Palestinian, females",0
moslems,VII. Ceramics (brick and tile manufacture),2,total population engaged,persons,1
moslems,VII. Ceramics (brick and tile manufacture),3,total population engaged,males,1
moslems,VII. Ceramics (brick and tile manufacture),4,total population engaged,females,0
moslems,VII. Ceramics (brick and tile manufacture),5,Directional & supervising staff — managers,"persons, total",0
moslems,VII. Ceramics (brick and tile manufacture),6,Directional & supervising staff — managers,"persons, males",0
moslems,VII. Ceramics (brick and tile manufacture),7,Directional & supervising staff — managers,"persons, females",0
moslems,VII. Ceramics (brick and tile manufacture),8,Directional & supervising staff — managers,"Palestinian Arabs, males",0
moslems,VII. Ceramics (brick and tile manufacture),9,Directional & supervising staff — managers,"Palestinian Arabs, females",0
moslems,VII. Ceramics (brick and tile manufacture),10,Directional & supervising staff — managers,"Palestinian Jews, males",0
moslems,VII. Ceramics (brick and tile manufacture),11,Directional & supervising staff — managers,"Palestinian Jews, females",0
moslems,VII. Ceramics (brick and tile manufacture),12,Directional & supervising staff — managers,"Palestinian others, males",0
moslems,VII. Ceramics (brick and tile manufacture),13,Directional & supervising staff — managers,"Palestinian others, females",0
moslems,VII. Ceramics (brick and tile manufacture),14,Directional & supervising staff — managers,"non-Palestinian, males",0
moslems,VII. Ceramics (brick and tile manufacture),15,Directional & supervising staff — managers,"non-Palestinian, females",0
moslems,VII. Ceramics (brick and tile manufacture),16,Directional & supervising staff — supervising & technical,"persons, total",0
moslems,VII. Ceramics (brick and tile manufacture),17,Directional & supervising staff — supervising & technical,"persons, males",0
moslems,VII. Ceramics (brick and tile manufacture),18,Directional & supervising staff — supervising & technical,"persons, females",0
moslems,VII. Ceramics (brick and tile manufacture),19,Directional & supervising staff — supervising & technical,"Palestinian Arabs, males",0
moslems,VII. Ceramics (brick and tile manufacture),20,Directional & supervising staff — supervising & technical,"Palestinian Arabs, females",0
moslems,VII. Ceramics (brick and tile manufacture),21,Directional & supervising staff — supervising & technical,"Palestinian Jews, males",0
moslems,VII. Ceramics (brick and tile manufacture),22,Directional & supervising staff — supervising & technical,"Palestinian Jews, females",0
moslems,VII. Ceramics (brick and tile manufacture),23,Directional & supervising staff — supervising & technical,"Palestinian others, males",0
moslems,VII. Ceramics (brick and tile manufacture),24,Directional & supervising staff — supervising & technical,"Palestinian others, females",0
moslems,VII. Ceramics (brick and tile manufacture),25,Directional & supervising staff — supervising & technical,"non-Palestinian, males",0
moslems,VII. Ceramics (brick and tile manufacture),26,Directional & supervising staff — supervising & technical,"non-Palestinian, females",0
moslems,VII. Ceramics (brick and tile manufacture),27,Clerical staff — clerical,"persons, total",0
moslems,VII. Ceramics (brick and tile manufacture),28,Clerical staff — clerical,"persons, males",0
moslems,VII. Ceramics (brick and tile manufacture),29,Clerical staff — clerical,"persons, females",0
moslems,VII. Ceramics (brick and tile manufacture),30,Clerical staff — clerical,"Palestinian Arabs, males",0
moslems,VII. Ceramics (brick and tile manufacture),31,Clerical staff — clerical,"Palestinian Arabs, females",0
moslems,VII. Ceramics (brick and tile manufacture),32,Clerical staff — clerical,"Palestinian Jews, males",0
moslems,VII. Ceramics (brick and tile manufacture),33,Clerical staff — clerical,"Palestinian Jews, females",0
moslems,VII. Ceramics (brick and tile manufacture),34,Clerical staff — clerical,"Palestinian others, males",0
moslems,VII. Ceramics (brick and tile manufacture),35,Clerical staff — clerical,"Palestinian others, females",0
moslems,VII. Ceramics (brick and tile manufacture),36,Clerical staff — clerical,"non-Palestinian, males",0
moslems,VII. Ceramics (brick and tile manufacture),37,Clerical staff — clerical,"non-Palestinian, females",0
moslems,VII. Ceramics (brick and tile manufacture),38,Operatives under 17 years,"persons, total",0
moslems,VII. Ceramics (brick and tile manufacture),39,Operatives under 17 years,"persons, males",0
moslems,VII. Ceramics (brick and tile manufacture),40,Operatives under 17 years,"persons, females",0
moslems,VII. Ceramics (brick and tile manufacture),41,Operatives under 17 years,"Palestinian Arabs, males",0
moslems,VII. Ceramics (brick and tile manufacture),42,Operatives under 17 years,"Palestinian Arabs, females",0
moslems,VII. Ceramics (brick and tile manufacture),43,Operatives under 17 years,"Palestinian Jews, males",0
moslems,VII. Ceramics (brick and tile manufacture),44,Operatives under 17 years,"Palestinian Jews, females",0
moslems,VII. Ceramics (brick and tile manufacture),45,Operatives under 17 years,"Palestinian others, males",0
moslems,VII. Ceramics (brick and tile manufacture),46,Operatives under 17 years,"Palestinian others, females",0
moslems,VII. Ceramics (brick and tile manufacture),47,Operatives under 17 years,"non-Palestinian, males",0
moslems,VII. Ceramics (brick and tile manufacture),48,Operatives under 17 years,"non-Palestinian, females",0
moslems,VII. Ceramics (brick and tile manufacture),49,Operatives 17 years and over,"persons, total",1
moslems,VII. Ceramics (brick and tile manufacture),50,Operatives 17 years and over,"persons, males",1
moslems,VII. Ceramics (brick and tile manufacture),51,Operatives 17 years and over,"persons, females",0
moslems,VII. Ceramics (brick and tile manufacture),52,Operatives 17 years and over,"Palestinian Arabs, males",1
moslems,VII. Ceramics (brick and tile manufacture),53,Operatives 17 years and over,"Palestinian Arabs, females",0
moslems,VII. Ceramics (brick and tile manufacture),54,Operatives 17 years and over,"Palestinian Jews, males",0
moslems,VII. Ceramics (brick and tile manufacture),55,Operatives 17 years and over,"Palestinian Jews, females",0
moslems,VII. Ceramics (brick and tile manufacture),56,Operatives 17 years and over,"Palestinian others, males",0
moslems,VII. Ceramics (brick and tile manufacture),57,Operatives 17 years and over,"Palestinian others, females",0
moslems,VII. Ceramics (brick and tile manufacture),58,Operatives 17 years and over,"non-Palestinian, males",0
moslems,VII. Ceramics (brick and tile manufacture),59,Operatives 17 years and over,"non-Palestinian, females",0
moslems,VIII. Chemical industries,2,total population engaged,persons,3
moslems,VIII. Chemical industries,3,total population engaged,males,3
moslems,VIII. Chemical industries,4,total population engaged,females,0
moslems,VIII. Chemical industries,5,Directional & supervising staff — managers,"persons, total",0
moslems,VIII. Chemical industries,6,Directional & supervising staff — managers,"persons, males",0
moslems,VIII. Chemical industries,7,Directional & supervising staff — managers,"persons, females",0
moslems,VIII. Chemical industries,8,Directional & supervising staff — managers,"Palestinian Arabs, males",0
moslems,VIII. Chemical industries,9,Directional & supervising staff — managers,"Palestinian Arabs, females",0
moslems,VIII. Chemical industries,10,Directional & supervising staff — managers,"Palestinian Jews, males",0
moslems,VIII. Chemical industries,11,Directional & supervising staff — managers,"Palestinian Jews, females",0
moslems,VIII. Chemical industries,12,Directional & supervising staff — managers,"Palestinian others, males",0
moslems,VIII. Chemical industries,13,Directional & supervising staff — managers,"Palestinian others, females",0
moslems,VIII. Chemical industries,14,Directional & supervising staff — managers,"non-Palestinian, males",0
moslems,VIII. Chemical industries,15,Directional & supervising staff — managers,"non-Palestinian, females",0
moslems,VIII. Chemical industries,16,Directional & supervising staff — supervising & technical,"persons, total",0
moslems,VIII. Chemical industries,17,Directional & supervising staff — supervising & technical,"persons, males",0
moslems,VIII. Chemical industries,18,Directional & supervising staff — supervising & technical,"persons, females",0
moslems,VIII. Chemical industries,19,Directional & supervising staff — supervising & technical,"Palestinian Arabs, males",0
moslems,VIII. Chemical industries,20,Directional & supervising staff — supervising & technical,"Palestinian Arabs, females",0
moslems,VIII. Chemical industries,21,Directional & supervising staff — supervising & technical,"Palestinian Jews, males",0
moslems,VIII. Chemical industries,22,Directional & supervising staff — supervising & technical,"Palestinian Jews, females",0
moslems,VIII. Chemical industries,23,Directional & supervising staff — supervising & technical,"Palestinian others, males",0
moslems,VIII. Chemical industries,24,Directional & supervising staff — supervising & technical,"Palestinian others, females",0
moslems,VIII. Chemical industries,25,Directional & supervising staff — supervising & technical,"non-Palestinian, males",0
