Original-Diagnosis	Primary-ICD9	Primary-ICD9-Name	Primary-Confidence	Additional-ICD9	Additional-ICD9-Name	Additional-Confidence	Frequency
Bleeding Per Demonitis	459.0	Hemorrhage, unspecified	0.4			1	
Frels Lobe							1
[duration_calc_impossible]							1
Refused Op.	V64.1	Surgical or other procedure not carried out because of patient's decision	1.0			1	
Complic. Inc.	998.89	Other specified complications of procedures, not elsewhere classified	0.6			1	
X Epis Severely Infected	604.90	Orchitis and epididymitis, without mention of abscess	0.5			1	
Traps. Primaria Laceration	879.4	Open wound of back, without mention of complication	0.7			1	
Cond. of Thorax	922.1	Contusion of chest wall	0.6			1	
Congs. L. Lt. Hand? C.L.	755.59	Other anomalies of upper limb, including shoulder girdle	0.4			1	
Pneubron	485	Bronchopneumonia, organism unspecified	0.9			1	
Quinsy N.A.D. Apello	475	Peritonsillar abscess	1.0			1	
Chilblirth R	991.5	Chilblains	0.9			1	
Lee.W? of Scalp	873.0	Open wound of scalp, without mention of complication	0.8			1	
Adenitis U. Metrache	289.3	Lymphadenitis, unspecified, except mesenteric	0.7			1	
Erosio In Utero Vig Salpi.	622.0	Erosion and ectropion of cervix	0.9	614.2	Salpingitis and oophoritis, unspecified	0.9	1
DMT Colic & SFL							
Depygh. & C.Vaginitis	616.10	Vaginitis and vulvovaginitis, unspecified	0.8				1
Non Cen. Probable Ul.	533.90	Peptic ulcer of unspecified site, without hemorrhage or perforation	0.8				1
Postritis & cul.	601.9	Prostatitis, unspecified	0.8	602.0	Calculus of prostate	0.5	1
Trach. Ribs.	807.09	Multiple closed fractures of ribs	0.6				1
Inf. Bursitis Rt. Rect.	727.83	Abscess of bursa	0.7				1
Mal. Abd. Peristalsis	560.1	Paralytic ileus	0.9				1
