city	spelling	n_records	kima_id	kima_name_rom	wikidata_qid	qid_source	wikidata_direct	decision	grade	confidence	decided_by	note	date
Ben Yehuda	Ben Yehuda	1						unmatched-ambiguous	C_review		agent	street vs Even Yehuda	2026-08-06
Ben Yehuda St	Ben Yehuda St	1						unmatched-no-kima-entry	C_review		agent	street	2026-08-06
Ben Yehuda Street	Ben Yehuda Street	1						unmatched-no-kima-entry	C_review		agent	street	2026-08-06
Beni Brak	Beni Brak	1	594	Bene Brak (Israel)	Q152467	kima-dump		matched	C_review		agent		2026-08-06
Benjamin	Benjamin	1					Q817379	unmatched-ambiguous	C_review		agent	Benyamina? surname?	2026-08-06
Benjamina|Benyamina	Benjamina|Benyamina	1	21551	Binyamina (Israel)	Q863886	kima-dump		matched	C_review		agent		2026-08-06
Benjaminia	Benjaminia	1	21551	Binyamina (Israel)	Q863886	kima-dump		matched	C_review		agent		2026-08-06
Benyamina. & Beit-Sacaross	Benyamina. & Beit-Sacaross	1	21551	Binyamina (Israel)	Q863886	kima-dump		matched	C_review		agent	first reading Benyamina	2026-08-06
Bersan|Dept. of Police, Bersan	Bersan|Dept. of Police, Bersan	1	613	Bet She'an (Israel)	Q152368	kima-dump		matched	C_review		agent	Bersan = Beisan (Bet She'an)	2026-08-06
Bet Alfa	Bet Alfa	1	563	Bet Alfa (Israel)	Q2900562	kima-dump		matched	C_review		agent		2026-08-06
Bet Alpha Huleh S/D.|Bet Alpha	Bet Alpha Huleh S/D.|Bet Alpha	1	563	Bet Alfa (Israel)	Q2900562	kima-dump		matched	C_review		agent		2026-08-06
Bet Gan	Bet Gan	1						unmatched-no-kima-entry	C_review		human		2026-08-06
Bet Olim	Bet Olim	1						unmatched-no-kima-entry	C_review		agent		2026-08-06
Beth Shearim	Beth Shearim	1	616	Bet She'arim (Israel)	Q1269256	kima-dump		matched	C_review		agent	the moshav (f. 1936)	2026-08-06
Biniamina|Binyamina	Biniamina|Binyamina	1	21551	Binyamina (Israel)	Q863886	kima-dump		matched	A_autolink	0.95	auto		2026-08-06
Binjamina|Binyamina	Binjamina|Binyamina	1	21551	Binyamina (Israel)	Q863886	kima-dump		matched	A_autolink	0.95	auto		2026-08-06
Bithania|Bethania	Bithania|Bethania	1	16157	Betanyah (Israel)				matched	A_autolink		human		2026-08-06
Blys	Blys	1						unmatched-junk	C_review		agent		2026-08-06
Brene Shaanan	Brene Shaanan	1	21497	Neve Sha'anan (Haifa, Israel)	Q2919842	kima-dump		matched	C_review		agent	garbled Neve Shaanan	2026-08-06
Buriq	Buriq	1						unmatched-ambiguous	C_review		agent		2026-08-06
Carmel Ahuza	Carmel Ahuza	1	21015	Ahuza (Haifa, Israel)	Q4159159	kima-dump		matched	C_review		agent	Ahuza on the Carmel	2026-08-06
Carmel Station	Carmel Station	1						unmatched-ambiguous	C_review		agent		2026-08-06
Carmiel	Carmiel	1	162	Karmi'el (Israel)	Q152418	kima-dump	Q152418	matched	A_autolink	0.95	auto		2026-08-06
Churipat Hayim	Churipat Hayim	1	479	Kiryat Hayyim (Haifa, Israel)	Q2655674	kima-dump		matched	C_review		agent	garbled Kiryat Haim	2026-08-06
Coastal Watch Bath-Jalim	Coastal Watch Bath-Jalim	1	21063	Bat Galim (Haifa, Israel)	Q810685	kima-dump		matched	C_review		agent	coastal-watch post at Bat Galim	2026-08-06
Daganya	Daganya	1	892	Deganya Alef (Israel)	Q2371396	kima-dump		matched	C_review		human		2026-08-06
Dantel Yahud	Dantel Yahud	1						unmatched-no-kima-entry	C_review		agent	garbled Ard/Harat el-Yahud	2026-08-06
Dar Awwaj	Dar Awwaj	1						unmatched-ambiguous	C_review		agent		2026-08-06
Defna	Defna	1	974	Dafna (Israel)	Q545232	kima-dump		matched	C_review		agent	Dafna	2026-08-06
Degania|Tiberias S/D	Degania|Tiberias S/D	1	892	Deganya Alef (Israel)	Q2371396	kima-dump		matched	A_autolink	0.95	auto		2026-08-06
Deganya	Deganya	1	892	Deganya Alef (Israel)	Q2371396	kima-dump		matched	A_autolink	0.95	auto		2026-08-06
Dejani	Dejani	1	892	Deganya Alef (Israel)	Q2371396	kima-dump	Q850106	matched	C_review		human	held for human review: QID conflict - kima-dump Q2371396 vs direct Wikidata Q850106	2026-08-06
Doris St	Doris St	1						unmatched-no-kima-entry	C_review		agent	street	2026-08-06
Drachla Tabor St	Drachla Tabor St	1						unmatched-no-kima-entry	C_review		agent	street	2026-08-06
Ein Haron	Ein Haron	1	12370	En Harod (Israel)	Q1339887	kima-dump		matched	C_review		agent	garbled Ein Harod	2026-08-06
Ein Hashofet	Ein Hashofet	1	91	En Hashofet (Israel)	Q2890213	kima-dump		matched	A_autolink	0.95	auto		2026-08-06
Ein Shemer	Ein Shemer	1	69	En Shemer (Israel)	Q166865	kima-dump		matched	C_review		agent		2026-08-06
Emek Hayarden	Emek Hayarden	1						unmatched-ambiguous	C_review		human	held for human review: Emek ha-Yarden regional entity; suggested #87167	2026-08-06
Emek R	Emek R	1					Q7884739	unmatched-ambiguous	C_review		human		2026-08-06
Emek R.|Emek	Emek R.|Emek	1						unmatched-ambiguous	C_review		human		2026-08-06
Emek Zevouloun	Emek Zevouloun	1						unmatched-ambiguous	C_review		human	held for human review: Emek Zevulun region entity; suggested #86676	2026-08-06
En Dor	En Dor	1	19136	En Dor (Israel)	Q2916646	kima-dump		matched	A_autolink	0.95	auto		2026-08-06
Fot Luq	Fot Luq	1						unmatched-junk	C_review		agent		2026-08-06
Galil	Galil	1						unmatched-ambiguous	C_review		human	held for human review: Galilee region entity; suggested #1475	2026-08-06
Geda	Geda	1					Q1792	unmatched-junk	C_review		agent		2026-08-06
Gisr El Majami	Gisr El Majami	1						unmatched-ambiguous	C_review		agent	Jisr al-Majami / Gesher area	2026-08-06
Giv'at Ada	Giv'at Ada	1	18292	Giv'at Ada (Israel)	Q7189221	kima-dump		matched	A_autolink	0.95	auto		2026-08-06
Givat Adam	Givat Adam	1	18292	Giv'at Ada (Israel)	Q7189221	kima-dump		matched	C_review		agent	read as Giv'at Ada	2026-08-06
Hadar	Hadar	1	27009	Kefar Hadar (Hod Hasharon, Israel)	Q2630079	wikidata-direct	Q2630079	matched	A_autolink	0.95	auto		2026-08-06
Hadar Hacarmel (Haifa)	Hadar Hacarmel (Haifa)	1	21150	Hadar Hakarmel (Haifa, Israel)	Q2630079	kima-dump		matched	C_review		agent		2026-08-06
Hadar Hacarmel Haifa	Hadar Hacarmel Haifa	1	21150	Hadar Hakarmel (Haifa, Israel)	Q2630079	kima-dump		matched	C_review		agent		2026-08-06
Hadar Hacarmel|Had. Hac	Hadar Hacarmel|Had. Hac	1	21150	Hadar Hakarmel (Haifa, Israel)	Q2630079	kima-dump	Q2630079	matched	C_review		agent		2026-08-06
Hadar [Haifa]	Hadar [Haifa]	1	21150	Hadar Hakarmel (Haifa, Israel)	Q2630079	kima-dump		matched	C_review		agent		2026-08-06
Haddar Carmel	Haddar Carmel	1	21150	Hadar Hakarmel (Haifa, Israel)	Q2630079	kima-dump		matched	C_review		agent		2026-08-06
Hadeira (Hadera)	Hadeira (Hadera)	1	858	Hadera (Israel)	Q471886	kima-dump		matched	C_review		agent		2026-08-06
Hadera|Hadera P. & P	Hadera|Hadera P. & P	1	858	Hadera (Israel)	Q471886	kima-dump	Q471886	matched	C_review		agent		2026-08-06
Hadera|Hedera	Hadera|Hedera	1	858	Hadera (Israel)	Q471886	kima-dump	Q471886	matched	A_autolink	0.95	auto		2026-08-06
Haifa (Nesher)	Haifa (Nesher)	1	20	Nesher (Israel)	Q135432	kima-dump		matched	C_review		agent	parenthetical = finer reading	2026-08-06
Haifa / Mount Carmel	Haifa / Mount Carmel	1						unmatched-ambiguous	C_review		human	held for human review: Mount Carmel entity; suggested #1156	2026-08-06
Haifa / Tel Amal	Haifa / Tel Amal	1						unmatched-ambiguous	C_review		agent	two different places	2026-08-06
Haifa S/P	Haifa S/P	1						unmatched-ambiguous	C_review		agent		2026-08-06
Haifa [Hadar HaCarmel]	Haifa [Hadar HaCarmel]	1	21150	Hadar Hakarmel (Haifa, Israel)	Q2630079	kima-dump		matched	C_review		agent		2026-08-06
Haifa s/d	Haifa s/d	1						unmatched-ambiguous	C_review		agent	sub-district, not the city	2026-08-06
Haifa|Ardel Jahud, Haifa	Haifa|Ardel Jahud, Haifa	1					Q41621	unmatched-no-kima-entry	C_review		human	finer reading Ard el-Yahud; no Kima entry	2026-08-06
Haifa|Bassa	Haifa|Bassa	1					Q41621	unmatched-ambiguous	C_review		human	held for human review: Haifa's Bassa area vs al-Bassa	2026-08-06
Haifa|Bourj Billet	Haifa|Bourj Billet	1					Q41621	unmatched-ambiguous	C_review		agent	second reading unidentifiable	2026-08-06
Haifa|Churches Ort	Haifa|Churches Ort	1					Q41621	unmatched-ambiguous	C_review		agent	second reading unidentifiable	2026-08-06
Haifa|Dar el Kadkany	Haifa|Dar el Kadkany	1					Q41621	unmatched-ambiguous	C_review		agent	second reading unidentifiable	2026-08-06
Haifa|Had. Stac	Haifa|Had. Stac	1	21150	Hadar Hakarmel (Haifa, Israel)	Q2630079	kima-dump	Q41621	matched	C_review		human	pipe policy; Had. Stac read as Hadar Hac.	2026-08-06
Haifa|Hadar Hacarmel Haifa	Haifa|Hadar Hacarmel Haifa	1	21150	Hadar Hakarmel (Haifa, Israel)	Q2630079	kima-dump	Q41621	matched	C_review		human	pipe policy: prefer the finer reading	2026-08-06
Haifa|Hedera	Haifa|Hedera	1					Q41621	unmatched-ambiguous	C_review		agent	two different towns	2026-08-06
Haifa|Mt. Carmel	Haifa|Mt. Carmel	1					Q41621	unmatched-ambiguous	C_review		human	held for human review: Mount Carmel entity; suggested #1156	2026-08-06
Haifa|Nesher	Haifa|Nesher	1	20	Nesher (Israel)	Q135432	kima-dump	Q41621	matched	C_review		human	user ruling: Nesher	2026-08-06
Haifa|Tireh	Haifa|Tireh	1	756	Tirat Karmel (Israel)	Q168215	kima-dump	Q41621	matched	outside-queue		human	pipe policy: finer reading	2026-08-06
Haim	Haim	1						unmatched-junk	C_review		agent	fragment	2026-08-06
Halershert	Halershert	1						unmatched-junk	C_review		agent		2026-08-06
Halisa	Halisa	1						unmatched-no-kima-entry	C_review		agent		2026-08-06
Hallesa	Hallesa	1					Q3473140	unmatched-no-kima-entry	C_review		agent		2026-08-06
Hallisa Qrt	Hallisa Qrt	1						unmatched-no-kima-entry	C_review		agent		2026-08-06
Hallissa	Hallissa	1						unmatched-no-kima-entry	C_review		agent	Halisa neighborhood	2026-08-06
Hammeh	Hammeh	1						unmatched-ambiguous	A_autolink		human	held for human review: el-Hamme spa, but Kima entity is the Hammat Gader archaeological site; suggested #4414	2026-08-06
Hanita	Hanita	1	799	Hanita (Israel)	Q2890402	kima-dump		matched	C_review		agent		2026-08-06
Hart el Yahud	Hart el Yahud	1						unmatched-no-kima-entry	C_review		agent		2026-08-06
Hartel Yahud	Hartel Yahud	1						unmatched-no-kima-entry	C_review		agent	Harat el-Yahud	2026-08-06
Hazorea	Hazorea	1	986	Hazore'a (Israel)	Q1000893	kima-dump		matched	A_autolink	0.95	auto		2026-08-06
Heazelia	Heazelia	1	700	Herzeliyya (Israel)	Q152491	kima-dump		matched	C_review		agent	garbled Herzlia	2026-08-06
Hittin	Hittin	1	21331	Hittin (Israel)	Q1246960	kima-dump	Q1246960	matched	A_autolink	0.95	auto		2026-08-06
Irbed	Irbed	1						unmatched-ambiguous	C_review		agent	Irbid, Transjordan plausible; foreign location held for human review	2026-08-06
Jaffa|Carmel Ahu K.bert	Jaffa|Carmel Ahu K.bert	1	629	Jaffa (Tel Aviv-Yafo, Israel)	Q180294	kima-dump	Q180294	matched	A_autolink	0.95	auto		2026-08-06
Jarit Nahalal	Jarit Nahalal	1	38	Nahalal (Israel)	Q1724338	kima-dump		matched	C_review		agent	garbled; Nahalal	2026-08-06
Joknan	Joknan	1	18301	Yokne'am (Israel)	Q2890709	kima-dump		matched	C_review		agent	garbled Yokneam	2026-08-06
Jokneam	Jokneam	1	18301	Yokne'am (Israel)	Q2890709	kima-dump	Q167582	matched	A_autolink	0.95	auto	held for human review: QID conflict - kima-dump Q2890709 vs direct Wikidata Q167582	2026-08-06
Kafaratta	Kafaratta	1	477	Kiryat Ata (Israel)	Q152602	kima-dump		matched	C_review		agent		2026-08-06
Kafata	Kafata	1	477	Kiryat Ata (Israel)	Q152602	kima-dump	Q139204008	matched	C_review		agent	garbled Kfar Ata; held for human review: QID conflict - kima-dump Q152602 vs direct Wikidata Q139204008	2026-08-06
Kafr Branch	Kafr Branch	1						unmatched-ambiguous	C_review		agent	Kfar Baruch? Kfar Brandeis?	2026-08-06
Kafr Hittim	Kafr Hittim	1	21908	Kefar Hittim (Israel)	Q2916642	kima-dump		matched	C_review		agent		2026-08-06
Kafr Yasin	Kafr Yasin	1	88951	Kafr Yasif (Israel)	Q2632879	kima-dump		matched	C_review		agent	read as Kafr Yasif	2026-08-06
Kefa Tabor	Kefa Tabor	1	1666	Kefar Tavor (Israel)	Q1186956	kima-dump		matched	C_review		agent	Kfar Tavor	2026-08-06
Kefar Ata	Kefar Ata	1	477	Kiryat Ata (Israel)	Q152602	kima-dump		matched	A_autolink	0.95	auto		2026-08-06
Kefar Bireim	Kefar Bireim	1						unmatched-ambiguous	C_review		agent	Bir'im? kibbutz Bar'am is post-1948	2026-08-06
Kenereth	Kenereth	1						unmatched-ambiguous	C_review		human		2026-08-06
Kfar Baroukh	Kfar Baroukh	1	815	Kefar Barukh (Israel)	Q2777518	kima-dump		matched	C_review		agent		2026-08-06
Kfar Baruch	Kfar Baruch	1	815	Kefar Barukh (Israel)	Q2777518	kima-dump		matched	A_autolink	0.95	auto		2026-08-06
Kfar Brandice	Kfar Brandice	1	21588	Kefar Brandeis (Israel)	Q2903275	kima-dump		matched	C_review		agent	Kfar Brandeis	2026-08-06
Kfar Hahoresh	Kfar Hahoresh	1	820	Kefar Hahoresh (Israel)	Q2777455	kima-dump		matched	A_autolink	0.95	auto		2026-08-06
Kfar Hasharon	Kfar Hasharon	1						unmatched-ambiguous	C_review		agent		2026-08-06
Kfar Hasidim / Kfar Hanoar	Kfar Hasidim / Kfar Hanoar	1	830	Kefar Hasidim (Israel)	Q135425	kima-dump		matched	C_review		agent	Kfar Hanoar is the youth village at Kfar Hasidim	2026-08-06
Kfar Horesh	Kfar Horesh	1	820	Kefar Hahoresh (Israel)	Q2777455	kima-dump		matched	C_review		agent	Kefar Hahoresh near Nazareth	2026-08-06
Kfar Jeladim	Kfar Jeladim	1	21910	Kefar Yeladim (Israel)				matched	C_review		agent	Kfar Yeladim	2026-08-06
Kfar Jeshuah	Kfar Jeshuah	1	19294	Kefar Yehoshu'a (Israel)	Q2889616	kima-dump		matched	C_review		agent		2026-08-06
Kfar Joshua	Kfar Joshua	1	19294	Kefar Yehoshu'a (Israel)	Q2889616	kima-dump		matched	C_review		agent		2026-08-06
Kfar Kasidim	Kfar Kasidim	1	830	Kefar Hasidim (Israel)	Q135425	kima-dump		matched	C_review		agent		2026-08-06
Kfar Khassidim	Kfar Khassidim	1	830	Kefar Hasidim (Israel)	Q135425	kima-dump		matched	C_review		agent		2026-08-06
Kfar Nachanesh	Kfar Nachanesh	1	820	Kefar Hahoresh (Israel)	Q2777455	kima-dump		matched	C_review		agent	garbled Kfar Hahoresh	2026-08-06
Kfar Nacharish / Nazareth	Kfar Nacharish / Nazareth	1	820	Kefar Hahoresh (Israel)	Q2777455	kima-dump		matched	C_review		agent	garbled Kfar Hahoresh	2026-08-06
Kfar Saba	Kfar Saba	1	839	Kefar Sava (Israel)	Q152436	kima-dump	Q152436	matched	A_autolink	0.95	auto		2026-08-06
Kfar Secta	Kfar Secta	1						unmatched-ambiguous	C_review		agent		2026-08-06
Kfar Yadidia	Kfar Yadidia	1	831	Kefar Yedidya (Israel)	Q2920134	kima-dump		matched	C_review		agent	Kfar Yedidya	2026-08-06
Kfar Yehoshoua	Kfar Yehoshoua	1	19294	Kefar Yehoshu'a (Israel)	Q2889616	kima-dump		matched	C_review		agent		2026-08-06
Kfar Yehoshua	Kfar Yehoshua	1	19294	Kefar Yehoshu'a (Israel)	Q2889616	kima-dump		matched	A_autolink	0.95	auto		2026-08-06
Kfar Yeshua	Kfar Yeshua	1	19294	Kefar Yehoshu'a (Israel)	Q2889616	kima-dump		matched	C_review		agent	Kfar Yehoshua	2026-08-06
Kfar Yideyah	Kfar Yideyah	1	831	Kefar Yedidya (Israel)	Q2920134	kima-dump		matched	C_review		agent	garbled Kfar Yedidya	2026-08-06
Khamra	Khamra	1						unmatched-ambiguous	C_review		agent		2026-08-06
Kharwa	Kharwa	1						unmatched-ambiguous	C_review		agent		2026-08-06
Kibbutz Affikim	Kibbutz Affikim	1	554	Afikim (Israel)	Q383280	kima-dump		matched	C_review		agent		2026-08-06
Kibbutz Dalia	Kibbutz Dalia	1	886	Daliyya (Israel)	Q1000997	kima-dump		matched	C_review		agent		2026-08-06
Kibbutz Hamarking	Kibbutz Hamarking	1						unmatched-junk	C_review		agent		2026-08-06
Kibbutz Kinneret	Kibbutz Kinneret	1	1669	Kinneret (Kevutsa) (Israel)	Q2296107	kima-dump		matched	A_autolink	0.95	auto		2026-08-06
Kibutz Affiking	Kibutz Affiking	1	554	Afikim (Israel)	Q383280	kima-dump		matched	C_review		agent		2026-08-06
Kibutz Dalia	Kibutz Dalia	1	886	Daliyya (Israel)	Q1000997	kima-dump		matched	C_review		agent		2026-08-06
Kinneret (Kibbutz)	Kinneret (Kibbutz)	1	1669	Kinneret (Kevutsa) (Israel)	Q2296107	kima-dump		matched	C_review		agent	explicit kibbutz	2026-08-06
Kinnereth	Kinnereth	1						unmatched-ambiguous	C_review		human		2026-08-06
Kiriat Haroshet	Kiriat Haroshet	1	21920	Kiryat Haroshet (Israel)	Q1743479	kima-dump		matched	C_review		agent		2026-08-06
Kiriat Kinzet	Kiriat Kinzet	1						unmatched-junk	C_review		agent		2026-08-06
Kiryat Amal	Kiryat Amal	1					Q12029237	unmatched-no-kima-entry	C_review		human	Kiryat Amal near Tivon; no Kima entry	2026-08-06
Kiryat Ata	Kiryat Ata	1	477	Kiryat Ata (Israel)	Q152602	kima-dump	Q152602	matched	C_review		agent		2026-08-06
Kiryat Eliahu	Kiryat Eliahu	1						unmatched-no-kima-entry	C_review		agent		2026-08-06
Kiryat Eliyahu	Kiryat Eliyahu	1						unmatched-no-kima-entry	C_review		agent	Haifa neighborhood	2026-08-06
Kiryat Haim / Kibbutz Amal	Kiryat Haim / Kibbutz Amal	1						unmatched-ambiguous	C_review		agent		2026-08-06
Kiryat Haim|Kiryat-Haim Tribune Amal	Kiryat Haim|Kiryat-Haim Tribune Amal	1	479	Kiryat Hayyim (Haifa, Israel)	Q2655674	kima-dump	Q112957897	matched	C_review		agent		2026-08-06
Kiryat Kamal	Kiryat Kamal	1						unmatched-no-kima-entry	C_review		human	garbled Kiryat Amal (Tivon)	2026-08-06
Kiryat Shmuel	Kiryat Shmuel	1	22902	Kiryat Shemuel (Jerusalem, Israel)	Q185687	wikidata-direct	Q185687	matched	A_autolink	0.95	auto		2026-08-06
Kiryat Yam	Kiryat Yam	1	480	Kiryat Yam (Israel)	Q152387	kima-dump	Q152387	matched	C_review		agent		2026-08-06
Kiryat-Haim Tribune Amal	Kiryat-Haim Tribune Amal	1	479	Kiryat Hayyim (Haifa, Israel)	Q2655674	kima-dump		matched	C_review		agent		2026-08-06
Kufr 'Ata	Kufr 'Ata	1	477	Kiryat Ata (Israel)	Q152602	kima-dump		matched	C_review		agent		2026-08-06
Kufr Ata	Kufr Ata	1	477	Kiryat Ata (Israel)	Q152602	kima-dump		matched	C_review		agent		2026-08-06
Kufretta	Kufretta	1	477	Kiryat Ata (Israel)	Q152602	kima-dump		matched	C_review		agent		2026-08-06
Kuryat el Yahu	Kuryat el Yahu	1						unmatched-no-kima-entry	C_review		agent		2026-08-06
Kvutzat Kinereth	Kvutzat Kinereth	1	1669	Kinneret (Kevutsa) (Israel)	Q2296107	kima-dump		matched	C_review		agent	explicit kevutsa	2026-08-06
Lydda	Lydda	1	178	Lod (Israel)	Q207540	kima-dump	Q207540	matched	A_autolink	0.95	auto		2026-08-06
Maagan	Maagan	1	189	Ma'agan (Israel)	Q2916656	kima-dump	Q187979	matched	C_review		agent	held for human review: QID conflict - kima-dump Q2916656 vs direct Wikidata Q187979	2026-08-06
Majamil	Majamil	1						unmatched-ambiguous	C_review		agent		2026-08-06
Majd al-Krum	Majd al-Krum	1	19615	Majd al-Kurum (Israel)	Q2777868	kima-dump	Q2777868	matched	A_autolink	0.95	auto		2026-08-06
Majdal	Majdal	1	6904	Migdal (Israel)	Q2916182	kima-dump	Q12192298	matched	A_autolink	0.95	auto	held for human review: QID conflict - kima-dump Q2916182 vs direct Wikidata Q12192298	2026-08-06
Mashmar Hyam	Mashmar Hyam	1						unmatched-ambiguous	C_review		agent	Mishmar HaYam vs Mishmar Haemek	2026-08-06
Massada	Massada	1	219	Masada (Israel)	Q2888546	kima-dump		matched	A_autolink	0.95	auto		2026-08-06
Menahemia Colony	Menahemia Colony	1	18297	Menahemya (Israel)	Q2917281	kima-dump		matched	C_review		agent	Menahemya	2026-08-06
Merchavia	Merchavia	1	205	Merhavya (Israel)	Q2920170	kima-dump	Q1004796	matched	A_autolink	0.95	auto	held for human review: QID conflict - kima-dump Q2920170 vs direct Wikidata Q1004796	2026-08-06
Mes-hah	Mes-hah	1	1666	Kefar Tavor (Israel)	Q1186956	kima-dump		matched	C_review		agent	Mesha = old name of Kfar Tavor	2026-08-06
Meshek Yagour	Meshek Yagour	1	771	Yagur (Israel)	Q586687	kima-dump		matched	C_review		agent		2026-08-06
Mizpa	Mizpa	1	21700	Mitspa (Israel)	Q2776808	kima-dump		matched	C_review		agent		2026-08-06
Mizra	Mizra	1	224	Mizra (Israel)	Q2889536	kima-dump		matched	C_review		agent		2026-08-06
Mount Tabor	Mount Tabor	1					Q6923978	unmatched-ambiguous	A_autolink		human	held for human review: Mount Tabor entity; suggested #5765	2026-08-06
Mt. Tabor	Mt. Tabor	1						unmatched-ambiguous	C_review		human	held for human review: Mount Tabor entity; suggested #5765	2026-08-06
Na'an	Na'an	1	16	Na'an (Israel)	Q1026840	kima-dump		matched	C_review		agent		2026-08-06
Nabi Sha'man Hagelil	Nabi Sha'man Hagelil	1						unmatched-ambiguous	C_review		agent		2026-08-06
Naffuleh	Naffuleh	1	18417	Afula (Israel)	Q152462	kima-dump		matched	C_review		agent	garbled Affuleh (Afula)	2026-08-06
Nahla	Nahla	1						unmatched-ambiguous	C_review		agent		2026-08-06
Nahlat Yacob	Nahlat Yacob	1						unmatched-ambiguous	C_review		agent		2026-08-06
Nahliel Yahud	Nahliel Yahud	1						unmatched-no-kima-entry	C_review		agent		2026-08-06
Natamia	Natamia	1	24	Netanya (Israel)	Q192225	kima-dump		matched	C_review		agent	garbled Natania	2026-08-06
Natania	Natania	1	24	Netanya (Israel)	Q192225	kima-dump		matched	C_review		agent		2026-08-06
Natsera (Nazareth)	Natsera (Nazareth)	1	18	Nazareth (Israel)	Q430776	kima-dump		matched	C_review		agent		2026-08-06
Natseria	Natseria	1	18	Nazareth (Israel)	Q430776	kima-dump		matched	C_review		agent	read as Nazareth	2026-08-06
Nebertz	Nebertz	1						unmatched-junk	C_review		agent		2026-08-06
Nes Ziona	Nes Ziona	1	15	Nes Tsiyyona (Israel)	Q168162	kima-dump	Q168162	matched	A_autolink	0.95	auto		2026-08-06
Netanya|Nathania	Netanya|Nathania	1	24	Netanya (Israel)	Q192225	kima-dump	Q192225	matched	C_review		agent		2026-08-06
Neve Sha'anan	Neve Sha'anan	1	21497	Neve Sha'anan (Haifa, Israel)	Q2919842	kima-dump	Q2907012	matched	C_review		agent	held for human review: QID conflict - kima-dump Q2919842 vs direct Wikidata Q2907012	2026-08-06
Nur El Shams	Nur El Shams	1	76253	Nur Shams Camp (West Bank)	Q7069998	kima-dump		matched	C_review		agent		2026-08-06
Nur Shams	Nur Shams	1	76253	Nur Shams Camp (West Bank)	Q7069998	kima-dump	Q7069998	matched	C_review		agent		2026-08-06
Nve Shaanan (Haifa)	Nve Shaanan (Haifa)	1	21497	Neve Sha'anan (Haifa, Israel)	Q2919842	kima-dump		matched	C_review		agent		2026-08-06
P.T	P.T	1	426	Petah Tikva (Israel)	Q190828	kima-dump		matched	C_review		agent	read as Petah Tikva	2026-08-06
Petach Tikva	Petach Tikva	1	426	Petah Tikva (Israel)	Q190828	kima-dump	Q190828	matched	A_autolink	0.95	auto		2026-08-06
Petah Tikva	Petah Tikva	1	426	Petah Tikva (Israel)	Q190828	kima-dump	Q190828	matched	A_autolink	0.95	auto		2026-08-06
Petah Tikvah	Petah Tikvah	1	426	Petah Tikva (Israel)	Q190828	kima-dump	Q190828	matched	A_autolink	0.95	auto		2026-08-06
Port Mason	Port Mason	1						unmatched-junk	C_review		agent		2026-08-06
Qiryat Ata	Qiryat Ata	1	477	Kiryat Ata (Israel)	Q152602	kima-dump	Q152602	matched	A_autolink	0.95	auto		2026-08-06
Ramallah	Ramallah	1	453	Ramalla (West Bank)	Q158119	kima-dump	Q158119	matched	A_autolink	0.95	auto		2026-08-06
Ramat Gan	Ramat Gan	1	777	Ramat Gan (Israel)	Q192807	kima-dump	Q192807	matched	C_review		agent		2026-08-06
Ramatby	Ramatby	1						unmatched-junk	C_review		agent		2026-08-06
Ramleh	Ramleh	1	456	Ramla (Israel)	Q221447	kima-dump	Q4518509	matched	C_review		agent	held for human review: QID conflict - kima-dump Q221447 vs direct Wikidata Q4518509	2026-08-06
Ras El Ein	Ras El Ein	1					Q655065	unmatched-ambiguous	C_review		agent		2026-08-06
Rechavia	Rechavia	1	21723	Rehavya (Jerusalem, Israel)	Q654128	kima-dump		matched	A_autolink	0.95	auto		2026-08-06
Rehovoth	Rehovoth	1	562	Rehovot (Israel)	Q207350	kima-dump	Q207350	matched	C_review		agent		2026-08-06
Roy	Roy	1			Q11878352	human		matched	C_review		human	El-Ro'i by Kiryat Haroshet; no Kima entry, Wikidata only	2026-08-06
Rumat Neshanan	Rumat Neshanan	1	21497	Neve Sha'anan (Haifa, Israel)	Q2919842	kima-dump		matched	C_review		agent	read as Ramat/Neve Shaanan	2026-08-06
Sajour	Sajour	1					Q732433	unmatched-ambiguous	C_review		agent	Sajur vs Sejera	2026-08-06
Sakhnin	Sakhnin	1	95	Sakhnin (Israel)	Q168330	kima-dump	Q168330	matched	C_review		agent		2026-08-06
Salem	Salem	1						unmatched-ambiguous	C_review		agent		2026-08-06
Sedjerah	Sedjerah	1	733	Ilaniyya (Israel)	Q2916589	kima-dump		matched	C_review		agent	Sejera = Ilaniyya	2026-08-06
Shar Amakim	Shar Amakim	1	258	Sha'ar Ha'amakim (Israel)	Q135484	kima-dump		matched	C_review		agent	Sha'ar Ha'amakim	2026-08-06
Shatel Yahud	Shatel Yahud	1						unmatched-no-kima-entry	C_review		agent		2026-08-06
Shavei Tzion / Nahariya	Shavei Tzion / Nahariya	1						unmatched-ambiguous	C_review		agent		2026-08-06
Shavei Zion	Shavei Zion	1	21799	Shave Tsiyyon (Israel)	Q571191	kima-dump	Q571191	matched	C_review		agent		2026-08-06
Shenglia	Shenglia	1	700	Herzeliyya (Israel)	Q152491	kima-dump		matched	C_review		human	user ruling: Shenglia Qrt = Herzliya	2026-08-06
Shezlia	Shezlia	1	700	Herzeliyya (Israel)	Q152491	kima-dump		matched	C_review		agent	by analogy with the Shenglia ruling	2026-08-06
Shunat Zarefin	Shunat Zarefin	1						unmatched-ambiguous	C_review		agent	Sarafand?	2026-08-06
Smillel	Smillel	1						unmatched-junk	C_review		agent		2026-08-06
