date	pub	lang	page_id	kind	term	place	haifa	dateline	diseases	transfer	window
1947-10-05	difaa	ar	difaa19471005-01.1.1	quarantine_station	للحجر الصحي		page		cholera		…لق ان السلطات البريطانيه رفضت الطلب المصري بالرول الجنود البريطانيين القادمين بالطايرات الي مصر في تلك للمطارات التي انشات فيها الحكومه المصريه مخافر للحجر الصحي، وانها لم توافق علي هذا الطلب الا مءخرا بعد ان تفشي وباء الكوليرا . وقد وجه الدكتور اللوم الي السلطات البريطانيه مناسبه انتشار وباء الكوليرا في القاه…
1947-10-06	difaa	ar	difaa19471006-01.1.2	kerentina	الكرنتينا		page				… فمن يرغب في الدراسه في اي فرع منها. وينال دبلوما فليكتب الي مدير للمهد الدكتور ٤٠٧ او شريف بيانا ص . ب ان يحضر الي محله المكاين في محله الجباليه قرب الكرنتينا بيانا دار البطران من الساعه الثانيه الي الخامسه مساء كل يوم . وهو علي استعداد بالاضافه الي الدراسه ان يجيبك بالحضور او بالمراسله من اي سءال يوجه اليه…
1947-10-09	difaa	ar	difaa19471009-01.1.4	kerentina	الكرنتينا		page				…لوباء الي البلدان والقري الجنوبيه، وجند جميع مفتشي دايره الصحه في غزه واحضر اربعه المفتشين من دواير الصحه في فلسطين كما عين اشخاصا اخرين وفتح ۹ محطات الكرنتينا علي الحدود الجنوبيه ، وعين الدكتور بهاء الدين النمري مسيولا عن التطعيم، وجعل مقره في خانيونس .…
1947-10-09	difaa	ar	difaa19471009-01.1.4	quarantine_station	الحجر الصحي		page		cholera		…اها من اداء فريضه الحج هذا العام كند بير احتياطي لمنع وصول وباء الكوليرا من مصر الي تركيا . واذيع ان جميع القادمين من مصر والاقطار العربيه سيحجزون في الحجر الصحي عده ايام . حمله التبرع الشعبي لبيت المال العربي بدا بيت المال العربي في الحمله التي نظمها للتبرع الشعبي في يافا وهي حمله يرجي لها النجاح والتوفيق وان…
1947-10-15	difaa	ar	difaa19471015-01.1.4	quarantine_station	بحجر صحي		window				…اء الي محطات فلسطينيه سيوقف موقتا في ١٥ تشرين الاول الجاري حتي اشعار اخر ويمكن حجز الاماكن فقط من محطه القنطره الشرقيه او محطات سينا الي حيفا فقط حيث بحجر صحيا علي الركاب طبقا للترتيبات التي يتخذها مدير الصحه العامه في فلسطين . ب) ويوقف ايضا في ١٥ تشرين اول حتي اشعار اخرا حجز الاماكن المسافرين المدنيين من ا…
1947-10-15	difaa	ar	difaa19471015-01.1.4	quarantine_station	الحجر الصحي		window				…اصه تسير بين حيفا وغزه لنقل الركاب المسافرين داخل فلسطين ولكن العربات المدنيه التي في القطار رقم ۲ القادمه من القاهره سيقوم علي حراستها حراس من دايره الحجر الصحي ولن يسمح لاي انسان بدخولها او الخروج منها بعد مغادرتها لرفح الي ان تصل ا الي الحجز الصحي في حيفا .…
1947-10-21	difaa	ar	difaa19471021-01.1.2	quarantine_station	الحجر الصحي		page				…مد خشبه باشا امير الحج المصري يحمل كتابا كريما من جلاله الملك فاروق الي جلاله الملك عبد العزيز ال سعود وستءدي لمعاليه للمراسم المالوفه بعد انقضاء مده الحجر الصحي التي فرضت علي جميع القادمين من مصر…
1947-10-22	difaa	ar	difaa19471022-01.1.2	kerentina	الكرنتينا		page				…اعلان هام لاصحاب البيارات ومزارعي الحمضيات بشري لاصحاب البارات ومزارعي الفواكه والخضار بيافا وقضاها سرنا ان نعلن باننا قد باشرنا في بيع زيل الكرنتينا الموجود في بصه الشماس و نيتر المراجعه في مكتبنا الكاين بشارع الدرهلي بعماره الدرهلي الجديده تلفون رقم ۱۳۲۰ يافا حسين الشرقاوي…
1947-10-29	difaa	ar	difaa19471029-01.1.2	infectious_hospital	مستشفي الامراض الساريه		paragraph				…ات . وهاجم بعد ذلك فريق من عصابه الارغون منزل احد اتباع الهاجناه واصا بوه ووالده بجراح واسفرت الحوادث من اربعه جرحي . نقل ارهابيين جريحين وقد نقل الي مستشفي الامراض الساريه لجبليه امس ارهابيان من اليهود الذين صيبوا في حادث الشجار بين عصا في الارغون والهافاناه ، في عيون قاره . وقد وضعا تحت لحراسه الشديده .…
1947-10-29	difaa	ar	difaa19471029-01.1.2	kerentina	الكرنتينا		page				…الحمضيات بشري لاصحاب البيارات ومزارعي الفواكه والخضار بيافا وقضاها نعلن باننا قد باشرنا في بيع زل الكرنتينا الموجود في بصه الشماس و نيتر . المراجعه في مكتبنا الكاين بشارع حسين الشرقاوي…
1947-10-30	difaa	ar	difaa19471030-01.1.2	kerentina	الكرنتينا		page				…اعلان هام لاصحاب البيارات ومزارعي الحمضيات بشري لاصحاب البيارات ومزارعي الفواكه والخضار بيافا وقضاها يسرنا ان نعلن باننا قد باشرنا في . يع زل الكرنتينا الموجود في بصه الشماس و نيتر المراجعه في مكتبنا الكاين بشارع الدرهلي بعماره الدرهلي الجديده. تلفون رقم ۱۳۲۰ يافا حسين الشرقاوي…
1947-10-31	difaa	ar	difaa19471031-01.1.2	kerentina	الكرنتينا		page				…اعلان هام لاصحاب البيارات ومزارعي الحمضيات بشري لاصحاب البيارات ومزارعي الفواكه والخضار بيانا وقضاها يسرنا ان نعلن باننا قد باشرنا في بيع زبل الكرنتينا الموجود في بصه الشماس و نيتر . المراجعه في مكتبنا الكاين بشارع الجديده. الدرهلي بعماره الدرهلي تلفون رقم ۱۳۲۰ يافا حسين الشرقاوي…
1947-10-31	difaa	ar	difaa19471031-01.1.2	kerentina	الكرنتينا		page				… فمن يرغب في لدراسه في اي فرع منها. وينال دبلوما فليكتب الي مدير للعهد الدكتور شريف بيافا ص . ب ٤٠٧ ٠ او ان يحضر الي محله الكاين في محله الجباليه قرب الكرنتينا بيانا دار البطران من الساعه الثانيه الي الخامسه مساء كل يوم . وهو علي استعداد بالاضافه الي الدراسه ان يجيبك بالحضور او بالمراسله من اي سءل يوجه اليه …
1947-11-02	difaa	ar	difaa19471102-01.1.2	kerentina	الكرنتينا		page				…اعلان هام لاصحاب البيارات ومزارعي الحمضيات بشري لاصحاب البيارات ومزارعي الفواكه والخضار بيانا وقضاها يسرنا ان نعلن باننا قد باشرنا في بيع زبل الكرنتينا الموجود في بصه الشماس و نيتر . المراجعه في مكتبنا الكاين بشارع الدرهلي بعماره الدرهلي الجديده. تلفون رقم ۱۳۲۰ يافا حسين الشرقاوي…
1947-11-06	difaa	ar	difaa19471106-01.1.2	quarantine_station	محجر الطور		paragraph				…وم الاثنين القادم ۱۰ منه . وقد وصل امس الي مطار الله ۲۲ حاجا عايدين من الحجاز وصل اخر فوج سافر بطريق الجو مساء غد - الجمعه . الطور - و . ا . ع - غادر محجر الطور الفوج الثاني من الحجاج وهم من الفلسطينيين وعددهم ٦٢٧ حاجا بينهم عشره اطفال وصحه الجميع جيده . اجتماع مفتش البوليس والسكرتير العام . القدس حضر الي الس…
1947-11-25	difaa	ar	difaa19471125-01.1.2	kerentina	الكرنتينا		page		cholera		…تها علي دخول للمسافرين من فلسطين ومصر اليها بعد انتشار وباء الكوليرا في مصر ويطلب الان من للمسافرين الذين لا يحملون شهادات من مراكه المراقبه الصحيه - الكرنتينا - ان يتقدموا للفحص الطبي في دمشق فقط…
1947-11-27	difaa	ar	difaa19471127-01.1.2	quarantine_station	المحجر الصحي		window		plague	y	…الطاعون في حيفا حيفا - ظهر وباء الطاعون ثانيه في المدينه فقد اصيب امس مامور اجراء محكمه صلح حيفا وهو يهودي هذا الوباء ، فنقل في الحال : الي المحجر الصحي، وتولت دايره الصحه تطعيم جميع موظفي العدليه ضد وباء الطاعون تطعيم جميع موظفي العدليه ضد وباء الطاعون ورشت جميع العماره والعمارات المجاوره بمسحوق ال .…
1947-12-03	difaa	ar	difaa19471203-01.1.2	quarantine_station	الحجر الصحي		page				…بغداد بغداد - و ا . ع - وصلت امس جلاله. المملكه نفيسه : والده سمو الامير عبد الالت الوصي علي عرش العراق ، وقد اصدر سموه الامر بان لا تستثني والدته من الحجر الصحي. وتقيم جلالتها الان في الرطبه لقضاء مده. الحجر المقرره افتتاح المفوضيه اللبنانيه ببغداد بغداد - لمراسل الدفاع الخاص - افتتح فخامه الشيخ بشاره الخوري …
1947-12-23	difaa	ar	difaa19471223-01.1.4	quarantine_station	للحجر الصحي		page				… الوحدات الطبيه العراقيه لتلقيح رجال القبايل العراقيه الضار بين بجوار الحدود السوريه ، و اوقفت المواصلات الجويه والبريه مع سوريا واتخذت اجراءات شديده للحجر الصحي . وعادت الي بيروت ليله امس البعثه الطبيه السلطات السوريه ت مع اللبنانيه بعد ان بحثت التدابير المشتركه الواجب اتخاذها لحصر الوباء . وصرح الدكتور وفيق …
1947-12-30	difaa	ar	difaa19471230-01.1.4	quarantine_station	للحجر الصحي		page				…حصر دخول البلاد بمراكز محدوده وخضوع القادمين للحجر الصحي…
1947-12-30	difaa	ar	difaa19471230-01.1.4	quarantine_station	الحجر الصحي		page				…صدر عدد ممتاز من الجريده الرسميه يوم امس اشير فيه الي الانظمه التي وضعها مدير الصحه العام بموجب قانون الحجر الصحي وفيها انه يحظر دخول اي شخص الي فلسطين من اي بلاد تتم الي الشمال والشرق من فلسطين بالطرق البريه الا من احد مراكز الحدود التاليه وهي راس الناقوره وجر ب…
1947-12-30	difaa	ar	difaa19471230-01.1.4	quarantine_station	الحجر صحي		page		cholera		…بطريق الجو والبر والبحر يتحتم عليه عند. وصوله ان يخضع الحجر صحي وفحص طبي لمده ٢٤ ساعه او لمده اطول منها اذا رءي ضروره لذلك سواء اكان معه شهاده بالتطعيم ضد الكوليرا ام لا . ولا يسري هذا النظام علي اي شخص من افراد ا…
1948-01-08	difaa	ar	difaa19480108-01.1.4	kerentina	الكرنتينا		page				…المدينه الثلاثه وهي امام بير الصفا قرب مقبره الانكليز والثاني علي بعد ميه متر الي الشرق من مفترق طريق بير السبع والطيران والثالث علي طريق خانيونس عند الكرنتينا واتخذ حاكم اللواء ومدير البوليس الترتيبات اللازمه الجيش لعدم دخول .. مع…
1948-01-11	difaa	ar	difaa19480111-01.1.3	kerentina	الكرنتينا	Jaffa	page				…ل ، والظروف الحاضره لا تسوغ الشروع في تجميل المدينه . كما هي الغايه من الهدم . الاناره منطقه الشاطيء يافا طلب الينا سكان منطقه شاطيء البحر غرب مستشفي الكرنتينا بيافا لفت نظر البلديه الي ضروره الاسراع باضاءه منطقتهم وتعزيز الحراسه فيها حتي لا يسهل علي المجرمين اليهود التسلل الي المنطقه والقيام باي عمل نادر ، …
1948-04-12	difaa	ar	difaa19480412-01.1.4	kerentina	وكرنتينا		page				…د بالقرب من حي دويها شديدا . وفي صباح امس اشتد اطلاق النيران بكثره في انحاء مختلفه من المدينه ولا تزال المواصلات التلفونيه مقطوعه فيها . احتلال معسكر وكرنتينا وتم اس جلاء الجيش البريطاني من مسكر سمخ الواقع شرقي المدينه، واستولي عليه لتمارين المانيا و المال لكن الاستولوا ولا عل في كما الكرنتينا واتخذوا التدا…
1948-04-12	difaa	ar	difaa19480412-01.1.4	kerentina	الكرنتينا		page				…. احتلال معسكر وكرنتينا وتم اس جلاء الجيش البريطاني من مسكر سمخ الواقع شرقي المدينه، واستولي عليه لتمارين المانيا و المال لكن الاستولوا ولا عل في كما الكرنتينا واتخذوا التدابير الكافيه للبقاء في هذه الاماكن…
1930-12-05	falastin	ar	falastin19301205-01.1.4	infectious_hospital	مستشفي الحكومه في الامراض الساريه		page		cholera|smallpox|trachoma|typhoid		…في قاعه مدرسه الاناث بمكا ، الدكتور اردکیان طبيب مستشفي الحكومه في الامراض الساريه التي منها ، التيفوييد ، الكوليرا ، الجدري، التراخوما ، السل،…
1931-09-05	falastin	ar	falastin19310905-01.1.4	quarantine_station	الحجر الصحي		paragraph		cholera|plague		…الشهر الماضي في سويسره والفرقه تدعو حضرات اعضايها واصدقايها ومساعديها لسماع هذه المحاضره المفيده ، وتفضلوا بقبول فايق الاحترام قايد الفرقه جميل قدومي الحجر الصحي والامراض الساريه اتخذت الاحتياطات الصحيه في فلسطين ضد الطاعون علي القادمين من الاسكندريه وبور سعيد وضد الكوليرا علي القادمين من بمباي بطريق الجو وضد …
1931-11-17	falastin	ar	falastin19311117-01.1.5	kerentina	الكرنتينا		other:Jerusalem	Jerusalem			… فلسطين الخاص - بينما كان الفرد جاكوب من القدس يوم ١٥ الجاري يصطاد خنزيرا بريا في زور الشريعه بقضاء داميه وقد توفي نابلس اصاب خطا عبد القادر زيد موظف الكرنتينا في جسر المصاب في الحال واعتقل البوليس الفرد المذكور . فلسطين » : انظر ما جاءنا من مراسلنا في نابلس حول هذا الحادث…
1932-06-10	falastin	ar	falastin19320610-01.1.5	kerentina	الكرنتينا		dateline	Haifa			…العاب الرياضيه التي تقام بعد ظهر اليوم . وقد كانت الحفله في العام الماضي في يافا وهذه السنه في حيفا وهي تقام كل سنه في لواء وقد نزل التلامذه في عماره الكرنتينا وجرت حفله سباحه لهم بعد ظهر امس عند حمامات البلديه…
1932-06-15	falastin	ar	falastin19320615-01.1.7	quarantine_station	محجر عتليت		page				…رضت رجل راجح خالداتيم من الطيره وهو فورمن في محجر عتليت علي اثر مرور العربه عليها اشتكي ابراهيم يييلي احد -…
1932-11-08	falastin	ar	falastin19321108-01.1.7	quarantine_station	الحجر الصحي		page				… ، رشاشات الاسفلت التي تستوردها السلطات المحليه لاستعمالها الخاص الات تكرير المياه التي تستوردها المجالس البلديه والمحليه لاستعمالها في مشاريع المياه الحجر الصحي وضعت الرقابه الصحيه علي ميناء…
1935-04-27	falastin	ar	falastin19350427-01.1.2	infectious_hospital	مستشفي الامراض الساريه		page				…وقهم فيها وتكون نتيجه انزلاق هذه الزباله علي الشارع ان تنتشر الجزاييم التي فيها وتكون سببا العدوي . فمن الضروري وضع ترتيب خاص لتنكات الزباله هذه (۱۲) مستشفي الامراض الساريه - من اهم اسباب العدوي خوف الاهلين من اجبارهم علي حملي مريضهم الي مستشفي الحكومه فيفضلون ان يبقي خير مريضهم مكتوما كي لا يءخذ الي المستشفي لان الاخبار…
1936-10-14	falastin	ar	falastin19361014-01.1.8	kerentina	الكرنتينا		page				"…وصلت صباح امس الباخره الخديويه زعفران ) وعليها ٦٠ طنامن البضايع المختلفه ، وبعد رسوها نزل المستر بوب مدير المينا"" وطبيب الكرنتينا فءاد افندي المشعلاني اليها واعطياها ( برانكا» ثم انزل البحاره العرب ثمانيه مواعين وافرغوا حموله الباخره بظرف ٥٥ دقيقه فقط و تصل صباح اليوم الباخره ال…"
1937-05-07	falastin	ar	falastin19370507-01.1.2	quarantine_station	الحجر الصحي		window				…ن الموضحه حدودها في الخارطه المعروضه للعموم بدايره حاكم للواء الشمالي بحيفا ودايره مدير الاراضي بالقدس رقم ۳۷۷۸ والمحطه باللون الاحمر لاجل توسيع محطه الحجر الصحي . ان حكومه فلسطين تطلب منكم افرادا واحدالا بيانا خطبا ما لكم من الحقوق المختلفه في تلك الارض وبادعاءاتكم بشانها وبيانا بالمبلغ الذي تطلبونه كتعويض وت…
1937-08-08	falastin	ar	falastin19370808-01.1.4	quarantine_station	الحجر الصحي		other:Cairo	Cairo	cholera		… الاسس للعلاقات البريطانيه – الايطاليه الجديده انتشار الوباء في هنكو لندن في ۷ - ورد نبا يفيد ان وباء الكوليرا الهواء الاصفر انتشر في مدينه هتكو ووضع الحجر الصحي علي المدينه واعلنت فيها حاله الطواري.…
1937-10-12	falastin	ar	falastin19371012-01.1.2	kerentina	والكرنتينا		other:Baghdad	Baghdad			…اص احدهم مصلح في قريه جفنا وسرقوا منه بعض الانيسه - اخبر البوليس في الساعه السابعه والدقيقه العشرين من صباح ٩ الجاري انه وجدت جثه علي احمد بين المسلخ والكرنتينا ورد نبا من سوريا في الساعه التاسعه والدقيقه الخامسه من مساء امس ان صنه اشخاص مسلحين اوقفوا صبح سيارات بين الحدود السوريه - الفلسطينيه براس الناقوره -…
1938-04-12	falastin	ar	falastin19380412-01.1.5	kerentina	الكرنتينا		page				…من الترخيص للركاب بالنزول في مبناء تل ابين ابتداء من يوم المس ولذلك فقد طلب الي جميع الموظفين اليهود في دايره الكرتبيها بميناء ياما ان يذهبوا الي قسم الكرنتينا عبر ابتل ابيب وقد ذهبوا امس الي هناك طلب ابقاء موظف تلقينا صوره البرقيه التاليه من صفد D وهي مرسله في الاصل الي المندوب السامي باسم العمال فرجوكم ابق…
1938-05-04	falastin	ar	falastin19380504-01.1.3	quarantine_station	حجر صحي		other:Bethlehem	Bethlehem			…لملي اليهودي في القدس واقتحموا الغرف ونزلوا فيها واعلنوا اضرابهم فريم من العام ورفضهم الروح الا اذا محوا شهادت اقامه في فلسطين علي مذبح تل ابيب صحيحي حجر صحي تقول ها ارتس ان دايره الصحه في تل ابيب اقامت حجرا صحيا علي مذبح بلديه تل ابيب وطلبت قتل المواشي المصابه بامراض معديه ولكن البلديه تمكنت من اقناع داير…
1938-05-21	falastin	ar	falastin19380521-01.1.5	quarantine_station	الحجر الصحي		window		cholera|smallpox		…في يافا اصابتين وفي بني براني التابعه لقضاء يانا اصابه واحده وفي حيفا اصابتين واصيب شخص واحد بالحمي الراجعه في قريه منسي التابعه القضاء حيفا اما قيود الحجر الصحي علي مرض الكوليرا والجدري فيراقب بها الان القادمون من مدن الهند الاتيه وهي : بومباي والله اباد وكلكتا وكراتشي وكاو بنور وكذلك يراقب بها القادمون من هو…
1938-06-09	falastin	ar	falastin19380609-01.1.3	quarantine_station	محجر صحي		other:Hebron	Hebron			…همه قتل بوليس عربي بجوار عتليت قد نقل من سجن سجن القدم بناء علي طلب محاميه ومعلوم انه قدم استثنافا الي مجلس الملك الخاص لم ينظر فيه حتي الان . مداهمه محجر صحي للحكومه علي الحدود جاء في ملحق هاارتس ان جماعه مسلحه داهمت محجرا صحيا حكوميا بجوار مستعمره ( جوش خلاب» علي الحدود الشماليه واخذت من موظفي المحجر خمسه…
1939-03-10	falastin	ar	falastin19390310-01.1.5	quarantine_station	والحجر الصحي		window		smallpox		…ه في الحضيره قضاء حيفا ووقعت اصابه واحده بمرض التهاب السحايا الدماغيه في حيفا واصابه واحده في الحي الراجم في قريه ارطاس قضاء بيت لحم ولا تزال الرقابه والحجر الصحي مفروضين علي القادمين من كلكتاوه و نا كونغ بطريق الجو وعلي القادمين من كلكتا بطريق البحر او دلهي ومدراس بطريق الجو وذلك ضد مرضي الكولير والجدري…
1939-06-08	falastin	ar	falastin19390608-01.1.5	kerentina	الكرنتينا	Jaffa	window				…يسافر اليوم الدكتور منير مشعلاني طبيب الكرنتينا في يافا الي حيفا حيث يتسلم عمله الجديد كمساعد ترييس اطباء المنطقه الشماليه والدكتور مشعلاني خدم في يافا سنوات عديده قاحبه اهلها، واحبهم وقدم اليهم اخ…
1939-06-15	falastin	ar	falastin19390615-01.1.5	quarantine_station	محجر صحي		page				…سكان اليهود علي اثر فرض منع النجول ثم قررت القيام باشغال عموميه الاستخدام الف عامل لمده طويله لا تقل من خمسه اشهر وستكون هذه الاشغال تعبيد طرق وانشاء محجر صحي في ميناء تل ابيب وستكلف هذه الاشغال ۷۰ الف جنيه…
1939-06-16	falastin	ar	falastin19390616-01.1.5	kerentina	الكرنتينا		paragraph		measles		…ع الدكتور حمد وديع نصر والدكتور عمر خليل مع تسعه رجال متطوعين في مركز الدكتور البوليس المجاور للحصبه الدكتور فءاد تابري مع عشره رحال متطوعين في دايره الكرنتينا في المرفا ويسرنا ان نذكر ان حضراتهم اظهروا الرغبه الزايده في التضحيه ومساعده الغير مما سجل لهم بالتقدير والاثر الحسن عند حضره رييس اطباء الصحه في الم…
1939-07-30	falastin	ar	falastin19390730-01.1.5	kerentina	الكرنتينا		dateline	Haifa			…ميناء جي. الي حيفا بالباخره المجرمه التي كانت تقل اليهود المهربين وقد ادخلت الي الميناء وكانت ترافقها مدرعه وقارب خفر السواحل وسينزل ركابها الي دايره الكرنتينا لاجل اجراء الترتيبات الصحيه وزارهم مندوبون من الجمعيات الصهيونيه وقدموا لهم الاطعمه وقد شوهدت ليله امس المدرعه التي جاءت بها الحكومه المساعده بوليس خ…
1939-08-22	falastin	ar	falastin19390822-01.1.6	kerentina	للكرنتينا		other:Jerusalem	Jerusalem			…اليهود المهربون وانزالهم للكرنتينا…
1939-08-22	falastin	ar	falastin19390822-01.1.6	kerentina	الكرنتينا		dateline	Haifa			…راصل فلسطين الخاص لا يزال المهاجرون اليهود الذين اعتقلوا مءخرا في ثلاثه مراكب موجودين في الميناء وعددهم ثمانمايه وتنخذ الاستعدادات اليوم لا نزالهم في الكرنتينا لاجراء الترتيبات الصحيه اللازمه ولم يعرف الي الان عما اذا كانوا سينزلون الي معتقل متليت ام يظلون في المراكب . وسيقدم ربان المراكب المحاكمه بعد ان وضع…
1939-09-15	falastin	ar	falastin19390915-01.1.3	infectious_hospital	مستشفي الامراض الساريه		dateline	Haifa			…تتحت مدرسه الصناعه بعد ان مضي علي اغلاقها اكثر من عام وبما ان الجيش يقيم الان في عمارتها علي طريق هكا قد استءجرت لها دار بالقرب من مكاتب البترول مكان مستشفي الامراض الساريه وعدد طلابها الان ٣٥ طالبا وسياتي اليها ار بمون طا لبا جديدا من مختلف انحاء البلاد. واخذوا السطو علي محلين وتحقيق البوليس صطا (المصوص ليله امس علي محل…
1939-11-30	falastin	ar	falastin19391130-01.1.3	quarantine_station	الحجر الصحي		window		cholera|smallpox		…ص فكانت خمس اصابات منها في حيفا واربعه اخري في قري قضاء حيفا وهي شفيا وصيادين والخضيره وكريات بيا لك و الاما به له اشره كانت في تل ابيب ولا تزال قيود الحجر الصحي مفروضه علي القادمين من بعض جهات الهند والافن وهونغ كونغ ضد مرضي الكوليرا والجدري سواء كان قدومهم بطريق الجو او البحر…
1939-12-12	falastin	ar	falastin19391212-01.1.2	quarantine_station	محجر الطور		other:Cairo	Cairo			…لاح الطيران الملكي المصري ويشمل هذا المبلغ انشاء اسراب جديده وزياده عدد الطيارين المدربين . وتجهيز المطارات بالمهمات الحديثه الاحتقال بالمحمل و تنظيم محجر الطور الصحي ب وافق صاحب الجلاله علي تحديد يوم ٢٨ كانون الجاري للاحتفال بالمحمل الشريف وسفر الكسوه المشرقه . وبهذه المناسبه اجتمعت لجنه الحجر الصحي لتنظيم ا…
1939-12-12	falastin	ar	falastin19391212-01.1.2	quarantine_station	الحجر الصحي		other:Cairo	Cairo			…ل و تنظيم محجر الطور الصحي ب وافق صاحب الجلاله علي تحديد يوم ٢٨ كانون الجاري للاحتفال بالمحمل الشريف وسفر الكسوه المشرقه . وبهذه المناسبه اجتمعت لجنه الحجر الصحي لتنظيم العمل في محجر الطور وقد تعين الدكتور صبري الفار لاداره المحجر المذكور وسيبحر الفوج الاول من الحجاج يوم الاربعاء القادم . وقد بلغ عدد الحجاج ال…
1939-12-12	falastin	ar	falastin19391212-01.1.2	quarantine_station	محجر الطور		other:Cairo	Cairo			… وافق صاحب الجلاله علي تحديد يوم ٢٨ كانون الجاري للاحتفال بالمحمل الشريف وسفر الكسوه المشرقه . وبهذه المناسبه اجتمعت لجنه الحجر الصحي لتنظيم العمل في محجر الطور وقد تعين الدكتور صبري الفار لاداره المحجر المذكور وسيبحر الفوج الاول من الحجاج يوم الاربعاء القادم . وقد بلغ عدد الحجاج المصريين الذين قيدوا اسماءهم …
1939-12-12	falastin	ar	falastin19391212-01.1.2	quarantine_station	المحجر الصحي		other:Cairo	Cairo			…رب من المدينه المنوره بمناسبه موسم الحج. وقد وافقت لجنه الماليه في مجلس النواب علي فتح اعتماد اضافي قدره ٣٦ الف جنيه في ميزانيه وزاره الصحه النفقات . المحجر الصحي. المديونون ووقف البيوع الجبريه في القطر المصري حركه واسعه بين المديونين الذين اخذوا يتوافدون علي التماهره من مختلف انحاء القطر لمقابله ولاه الامر وال…
1940-01-09	falastin	ar	falastin19400109-01.1.3	kerentina	الكرنتينا		window			y	…ميناء تل ابيب باخره لشحن ٣٣ الف صندوق برتقال وقبل ان تبدا العمل لاحظ الطبيب الحكومي انها مصابه » بوجود عدد كبير من ( الفيران ) فيها فارسلت بامر دايره الكرنتينا الي حيفا « لتطهيرها » وستعود الي تل ابيب بعد ذلك -…
1940-01-24	falastin	ar	falastin19400124-01.1.3	kerentina	الكرنتينا		page			y	…اصيب في الايام الاخيره عدد من الكونستبلات الانجليز بعرض معد هو مرض «الجرب» وقد نقل المصابون الي مستشفي الكرنتينا في الجباليه لمعالجتهم و بعد ذلك ظهر المرض علي عدد اخر من الكونستبلات حتي بلغ عدد المصابين حوالي ٣٠ شخصا وضع حوالي ١٥ منهم في مكان منعزل في مستشفي الح…
1940-01-26	falastin	ar	falastin19400126-01.1.3	kerentina	الكرنتينا	Jaffa	page				…خرج من مستشفي الحكومه ومستشفي الكرنتينا بيافا عدد من الكونستيلات الانكليز الذين اصيبوا بمرض ( الجرب ) بعد شفايهم منه ولا يزال في المستشفيين المذكورين حوالي عشره كو نستبلات اخر بن رهن المعال…
1940-02-02	falastin	ar	falastin19400202-01.1.3	quarantine_station	محجر الطور		page				…وردت علي عدد من ذوي ححاح بيت الله الحرام الفلسطينيين وخصوصا الباقيين منهم برقيات من محجر الطور تنبيء بوصولهم الي هناك في صحه جيده وانهم سيكونون في يانا في يوم الاحد القادم (بعد غد)…
1940-02-20	falastin	ar	falastin19400220-01.1.3	kerentina	الكرنتينا		page			y	…طعن الاول الثاني بموسي ثلاث طعنات بين كتفه وعنقه ادت الي قطع الشريان ونزف دماء كثيره منه فاغمي عليه وسارع مامورو المحافظه في نقله من الباخره الي مكتب الكرنتينا الاسعافه وبعد ذلك نقل الي مستشفي الحكومه بيافا حيث اجريت له عمليه نحسنت حالته علي اثرها اما الضارب فقد اعتقل بواسطه البوليس وصودر الموسي منه واودع ال…
1940-04-16	falastin	ar	falastin19400416-01.1.3	kerentina	الكرنتينا		page			y	…انقاذ السنه الاخيرين البحر في حاله يطلق عليها البحاره اسم بعد مجهود كبير وكانوا بحاله تشنج و اغماء ( طلفاس) وفي الحال امرت دايره الميناء وقد قام طبيب الكرنتينا وضابط الميناء يوقف العمل ومنعت المواعين من الخروج باجراء الاسعافات الاوليه لهم ثم نقل الي عرض البحر حيث كانت ترمو باخرتان اربعه منهم الي المستشفي وحا…
1940-04-16	falastin	ar	falastin19400416-01.1.3	kerentina	الكرنتينا		page			y	…حجز اغنام لمراسل فلسطين الخاص - ضبط بولیس بیسان مع مامور الكرنتينا نحو خمسه الاف راس من الفم تخص السيدين احمد كامل الطحان دخلت فلسطين عن طريق شرقي الاردن من غير كرنتينا وقد…
1940-04-16	falastin	ar	falastin19400416-01.1.3	kerentina	كرنتينا		page				…مراسل فلسطين الخاص - ضبط بولیس بیسان مع مامور الكرنتينا نحو خمسه الاف راس من الفم تخص السيدين احمد كامل الطحان دخلت فلسطين عن طريق شرقي الاردن من غير كرنتينا وقد…
1940-04-16	falastin	ar	falastin19400416-01.1.3	kerentina	الكرنتينا		page				…٣٠ شخصا المساعده هذا المشروع الجليل والمامول ان يتضاعف هذا الرقم جسر الشيخ حسين فهم ان الحكومه امرت باجراء الاصلاح في جسر الشيخ حسين واعاده فتح مكاتب الكرنتينا والجمرك هناك وبهذا تعود الي المدينه حركتها التجاريه سابقه…
1940-04-26	falastin	ar	falastin19400426-01.1.5	kerentina	الكرنتينا		page				…قررت لجنه بلديه يافا ان تشرع في الاسبوع المقبل في تعبيد شارع الجباليه البالغ طوله ٥٠٠ متر ويمتد من شارع الحلوه باتجاه الغرب حتي مستشفي الكرنتينا بالعجمي وسيتفرع من منتصفه شارع يسير للشمال حتي مدرسه الحكومه بالعجمي…
