n	id	date	publication	title	snippet	forms
253	dav19381116-01.1.3	16 November 1938	dav	Page 3	"<div class=""txtsearchsnippet"">הוציאה לפועל כל עבודות הנגרות בבנין <b class=""highlightcolor"">בית החולים הממשלתי</b> בחיפה</div>"	spelled
254	dav19381208-01.1.4	8 December 1938	dav	Page 4	"<div class=""txtsearchsnippet"">... עושים זאת במרץ היאה לדבר בזה. אחרי גמר בנין <b class=""highlightcolor"">בית החולים הממשלתי</b> בבת _נליפ , יובלטו עור יותר הליקויים ...</div>"	spelled
255	dav19381220-01.1.7	20 December 1938	dav	Page 7	"<div class=""txtsearchsnippet"">... העליון בחיפה ביום ח י תיערך הפתיחה הרשמית של <b class=""highlightcolor"">בית החולים הממשלתי</b> החדש _בבת־ גלים, חיפה. בפתיחה יחיה נוכח ...</div>"	spelled
256	dav19381222-01.1.6	22 December 1938	dav	Page 6	"<div class=""txtsearchsnippet"">אתמול אחה""צ הגיע הנציב העליון לחיפה. הבוקר ישתתף בפתיחת <b class=""highlightcolor"">בית־ החולים הממשלתי</b> החדש בבת גלים.</div>"	spelled
257	dav19381223-01.1.8	23 December 1938	dav	Page 8	"<div class=""txtsearchsnippet"">... מודיעים רשמית: הוד מעלתו הנציב העליון פתח אתמול את <b class=""highlightcolor"">בית החולים הממשלתי</b> החדש בחיפה. _תכנית בית החולים , היכנה ...</div>"	spelled
258	dav19381225-01.1.8	25 December 1938	dav	Page 8	"<div class=""txtsearchsnippet"">... ‭. (25. 12. 38)‬ החולים ""עושים פוליטיקת‭''‬ לרגל פתיחת <b class=""highlightcolor"">בית החולים הממשלתי</b> בה יפת מסרו שלושה חולים משכם, עזה ...</div>"	spelled
259	dav19381226-01.1.1	26 December 1938	dav	Page 1	"<div class=""txtsearchsnippet"">מכונית צבאית העבירה את הפצועים י <b class=""highlightcolor"">בית החולים הממשלתי</b> בבת גלים !טשם העבירום‭.. ‬להדםה‭. ""‬הצעירה נחבשה ...</div>"	spelled
260	dav19381227-01.1.1	27 December 1938	dav	Page 1	"<div class=""txtsearchsnippet"">... ממשלת ארץ ישראל את מחאתה על המקרה שהיה בפתיחת <b class=""highlightcolor"">בית החולים הממשלתי</b> החדש בהיפה- — _שנאומים הרשמיים אשר הושמעו ...</div>"	spelled
261	dav19381228-01.1.1	28 December 1938	dav	Page 1	"<div class=""txtsearchsnippet"">... עצרו אתמול חנוני ערבי בשם קוסטה סלימת רלאל, ברחוב <b class=""highlightcolor"">בית החולים הממשלתי</b> ביפו, הכריחו אותו לחזור לחנותו ושדדו שם ...</div>"	spelled
262	dav19390106-01.1.6	6 January 1939	dav	Page 6	"<div class=""txtsearchsnippet"">... המקרה כעדי ראיה. אה""כ העיד ד""ר יאסם אלהיירי, רופא <b class=""highlightcolor"">בית החולים הממשלתי</b> ביפו. ב־24 באוקטובר ב־10 לפנה""צ הובא מוחמר ...</div>"	spelled
263	dav19390307-01.1.1	7 March 1939	dav	Page 1	"<div class=""txtsearchsnippet"">ד""ר ט. עטוננוג, רופא <b class=""highlightcolor"">בית החולים הממשלתי.</b> בצפת, נסע ממשרד הבריאות לבית החולים במכונית ...</div>"	spelled
264	dav19390620-01.1.1	20 June 1939	dav	Page 1	"<div class=""txtsearchsnippet"">... נכנס יהודי בשפ אלפדד כהן לתוך הדר המתים של <b class=""highlightcolor"">בית החולים הממשלתי</b> ? בחיפה שבו שכבו קרבנות, ההתפוצצות. סבורים, ...</div>"	spelled
265	dav19390620-01.1.5	20 June 1939	dav	Page 5	"<div class=""txtsearchsnippet"">... "" ה ‭!5‬ן, בן ‭, 27‬פצוע ימיות ובאבנים ליד <b class=""highlightcolor"">בית החולים הממשלתי.</b> אלפרד תאן הוא המעפיל שנשבה עם אשתו ...</div>"	spelled
266	dav19390630-01.1.6	30 June 1939	dav	Page 6	"<div class=""txtsearchsnippet"">דייר ט. שטרנברג, מי שהית. מנחל <b class=""highlightcolor"">בית־החולים הממשלתי</b> בצפת, נקרא אתמול ע''י המשטרה לבית הסוהר לנצרת ...</div>"	maqaf
267	dav19390711-01.1.7	11 July 1939	dav	Page 7	"<div class=""txtsearchsnippet"">... של הנהלת הדואר? זכור לנו, כי בזמן שבנו את <b class=""highlightcolor"">בית החולים הממשלתי</b> בחיפה שמרו בקפדנות :של‭1&lt;‬ תקיפה זכות . ...</div>"	spelled
268	dav19390901-01.1.4	1 September 1939	dav	Page 4	"<div class=""txtsearchsnippet"">... ראשונה לקול במקרה התקפות אויר על חיפה במיומות דלקמן: <b class=""highlightcolor"">בית החולים הממשלתי</b> יחדש, משדד חברי־ אות הישן, מרבו מגן ...</div>"	spelled
269	dav19400602-01.1.6	2 June 1940	dav	Page 6	"<div class=""txtsearchsnippet"">... קודרת _התאסו* קהל של קרוב . למאתיים איש בחצר <b class=""highlightcolor"">בית החולים הממשלתי</b> בירושלים ללוות את ד""ר ? שמחה -כץ ...</div>"	spelled
270	dav19401008-01.1.4	8 October 1940	dav	Page 4	"<div class=""txtsearchsnippet"">... הגויה הועברה לבית ־הולים המ משלתי לבדיקה. הרהבה ליד <b class=""highlightcolor"">בית החולים הממשלתי</b> י _שבטגדש הרוסי נתמלאת לשעת תלויה קהל ...</div>"	spelled
271	dav19410113-01.1.4	13 January 1941	dav	Page 4	"<div class=""txtsearchsnippet"">... הביקור במרכז. יפו ה-אי־ רופית"" . יבעיר העתיקה. ליד <b class=""highlightcolor"">בית החולים הממשלתי</b> קידמו _רביט את פני המטיילים נ""שלום"" בעברית. ...</div>"	spelled
272	dav19410220-01.1.4	20 February 1941	dav	Page 4	"<div class=""txtsearchsnippet"">... את בית־ החולים העירוני לרשות _המסילה. _נדדלש מבנה הקמת <b class=""highlightcolor"">בית חולים _ממשלתי</b> ית""א וגם השתתפות בהחזקת בית~חולים העירוני. אגב, ...</div>"	indefinite
273	dav19410223-01.1.4	23 February 1941	dav	Page 4	"<div class=""txtsearchsnippet"">... המיניסטר לבריאות בממשלת ליטא הזמנית התפטר ממשרתו ונתמנה לראש <b class=""highlightcolor"">בית החולים הממשלתי</b> לשחפת בקובני.</div>"	spelled
274	dav19410306-01.1.2	6 March 1941	dav	Page 2	"<div class=""txtsearchsnippet"">... לציין שבתי החולים הממשלתיים התקדמו ברמתם הרפואית בשנים האחרונות. <b class=""highlightcolor"">בית החולים הממשלתי</b> למחלות מידבקות בפרדס כץ עומד על גובד, ...</div>"	spelled
275	dav19410914-01.1.4	14 September 1941	dav	Page 4	"<div class=""txtsearchsnippet"">... פגעת בשתי. אחיות רחמניות שהלכו בכביש ‭-, ‬ בקרבת- <b class=""highlightcolor"">בית החולים הממשלתי</b> בפרדם כץ, ביום די‭_9, ‬ בספטמבר בין ...</div>"	spelled
276	dav19410915-01.1.4	15 September 1941	dav	Page 4	"<div class=""txtsearchsnippet"">... הספיק. לפי דרישת העירית, הבטיחה _הממולח לחי־ חיב את <b class=""highlightcolor"">בית החולים הממשלתי</b> בפרדס כ ""'ו וביפו, ער שיהיו לרשות ...</div>"	spelled
277	dav19420118-01.1.4	18 January 1942	dav	Page 4	"<div class=""txtsearchsnippet"">... ?סוחרים. עשירים ביפו לבנין בית־חולים ליולדות, שיוקם כאגף ליד <b class=""highlightcolor"">_בית־החולים הממשלתי</b> בדרופה של העיר על שפת הים, בקרבת בת־ים ...</div>"	maqaf
278	dav19420414-01.1.1	14 April 1942	dav	Page 1	"<div class=""txtsearchsnippet"">... ‭. 17‬ קחל חברים התאסף אתמול _ב־3 אחה""צ ליד <b class=""highlightcolor"">בית החולים הממשלתי</b> להלוית משה עזרא. השתתפו ב""כ מועצת פועלי ...</div>"	spelled
279	dav19420608-01.1.2	8 June 1942	dav	Page 2	"<div class=""txtsearchsnippet"">... ד""ר _מ. כהו הסתמך על ידיעת ""דבריי על הגדלת <b class=""highlightcolor"">בית החולים הממשלתי</b> בסביבת ירושלים ותבע, כי קודם כל _יוקט ...</div>"	spelled
280	dav19420716-01.1.4	16 July 1942	dav	Page 4	"<div class=""txtsearchsnippet"">... 000‬ זריקות נגד _טיפוק ברוטרי-קלוב הרצה ד""ר _מישילאני, רופא <b class=""highlightcolor"">ביה""ח הממשלתי</b> למחלות מידבקות, ע? ‭"" ""‬ י מחלת הטיפוס. ...</div>"	abbreviated
281	dav19420717-01.1.6	17 July 1942	dav	Page 6	"<div class=""txtsearchsnippet"">קופוז־זוו'ליט. בוזי‭?*‬ווו&amp;א <b class=""highlightcolor"">בית החולים הממשלתי</b> בחיטה, ד""ל מישילני (בהוצאתו בקליג _. ווטרי‭(""‬ ...</div>"	spelled
282	dav19420807-01.1.4	7 August 1942	dav	Page 4	"<div class=""txtsearchsnippet"">... י_/ראשוך לציץ!רוברט _ניפוס בית _בניפין רח'יברכוכבא, פתח-תקוה;אס תר ברקוביצי, <b class=""highlightcolor"">בית חולים ממשלתי</b> צפת לאוני בלוט!שלומית ‭;, ‬ פרידה ברףוה, ...</div>"	indefinite
283	dav19421218-01.1.6	18 December 1942	dav	Page 6	"<div class=""txtsearchsnippet"">... קוסמן, מנהל הבמה של האופרה הארצישראלית הועבר ונמצא בטיס1ל <b class=""highlightcolor"">בית החולים הממשלתי</b> למחלות מדבקות. מקרי הדבר שנתגלו עכשיו, בתלד ...</div>"	spelled
284	dav19430107-01.1.4	7 January 1943	dav	Page 4	"<div class=""txtsearchsnippet"">עוד מקרח חשש לדבר אל <b class=""highlightcolor"">בית החולים הממשלתי</b> הועבר אתמול ערבי הוי־, הגר בהמשך רחוב ...</div>"	spelled
285	dav19430310-01.1.4	10 March 1943	dav	Page 4	"<div class=""txtsearchsnippet"">... גילו 'טל הנאשם ן . ד""ר -בישראל‭,. ‬רופא ומנהל <b class=""highlightcolor"">בית החולים הממשלתי</b> ביפו סבור, כי _הנאיגם יכול להיות</div>"	spelled
286	dav19430512-01.1.4	12 May 1943	dav	Page 4	"<div class=""txtsearchsnippet"">... ועדת המצב קידמה בברכה י החלטת הממשלה על הקמת <b class=""highlightcolor"">בית חולים ממשלתי</b> לבני מושבות בביה""ח היר־ קח. בת''א, ועתי' ...</div>"	indefinite
287	dav19430601-01.1.4	1 June 1943	dav	Page 4	"<div class=""txtsearchsnippet"">... אתמיל אצל נ_&amp;ל בן 15 ברעננה. הוא נאסף אל <b class=""highlightcolor"">בית החולים הממשלתי.</b> ילל שביקל בגן הילדים הנמצא באותו בית. ...</div>"	spelled
288	dav19430913-01.1.1	13 September 1943	dav	Page 1	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">בית החולים הממשלתי</b> הראשון בישוב היהודי ייפתח _סוף־סוף בשבועות י. ...</div>"	spelled
289	dav19440427-01.1.3	27 April 1944	dav	Page 3	"<div class=""txtsearchsnippet"">... 55. ‬ הלשות. ‭8. 00‬ תכנית ""כבק'גחד* מיוחדת לאחיות <b class=""highlightcolor"">בית החולים הממשלתי</b> בחיפה‭8, 15. ‬ ז/ד־ שור‭8. 25.. ‬ ...</div>"	spelled
290	dav19440504-01.1.4	4 May 1944	dav	Page 4	"<div class=""txtsearchsnippet"">... המורה י. שייב מנית החולים , הדט. ה"" אל <b class=""highlightcolor"">בית החולים הממשלתי.</b> עתה התברר בי הלא נפגע בשתי חוליות, ...</div>"	spelled
291	dav19440630-01.1.6	30 June 1944	dav	Page 6	"<div class=""txtsearchsnippet"">... בשל קלקול _בחוס _זושמל אירעה שליפה באתר התאים של <b class=""highlightcolor"">בית. החולים הממשלתי.</b> ה־אש כונתה מיד. לא הגנב אשס אלא ...</div>"	spelled
292	dav19440820-01.1.7	20 August 1944	dav	Page 7	"<div class=""txtsearchsnippet"">... קונסולים, ח""ה מ. שלוש, יעקב שפירא;ד""ר _גניגיורק, _שנתמנה למנהל <b class=""highlightcolor"">בית החולים הממשלתי</b> באליסיאבי־ בה -יאחרים, פרקי היום בתנ‭''‬ך דני ...</div>"	spelled
293	dav19450102-01.1.1	2 January 1945	dav	Page 1	"<div class=""txtsearchsnippet"">... יפו את החובה לספק חלק גדול מתק - ציב <b class=""highlightcolor"">בית החולים הממשלתי</b> _וגתקציבמ של בתי הטפר הממשלתיים שבעיר — ...</div>"	spelled
294	dav19450104-01.1.2	4 January 1945	dav	Page 2	"<div class=""txtsearchsnippet"">... — משחייני . הפועל"" בתל אביב. הלויה היום ב־10 <b class=""highlightcolor"">:־בית החולים הממשלתי</b> ליד הידקוז. _ל־גר זירי""ו?דגרג _; היום ב־ ...</div>"	spelled
295	dav19450130-01.1.2	30 January 1945	dav	Page 2	"<div class=""txtsearchsnippet"">... רוב מהפרים _תחנת־הכזח של חב־ ; י ףת החשמל, <b class=""highlightcolor"">בית־החולים הממשלתי.</b> בית מעיליה' ""ב יתנו‭, ""‬בתי־הזיקוק, נמל היפי‭,, ‬בניני ...</div>"	maqaf
296	dav19450225-01.1.4	25 February 1945	dav	Page 4	"<div class=""txtsearchsnippet"">הועידה קידמה בברכה את הקמת <b class=""highlightcolor"">בית החולים הממשלתי</b> ""הירקון‭, ""‬אולם היא מדגישה כי 80 מטות ...</div>"	spelled
297	dav19450429-01.1.6	29 April 1945	dav	Page 6	"<div class=""txtsearchsnippet"">... על רופאיהם. במכונית הצלב האדום הועברו 11 פצועים אל <b class=""highlightcolor"">בית־ החולים הממשלתי</b> למושבו. נ בתל־אביב. שתים מן הפצועים: ד""ר ...</div>"	spelled
298	dav19450626-01.1.4	26 June 1945	dav	Page 4	"<div class=""txtsearchsnippet"">... של . היסה‭, ''‬ולאחר שצולמה הועברה לחדר־ המתים של <b class=""highlightcolor"">בית החולים הממשלתי</b> בבני־ ברק. כבת ‭. 55‬שעוות שיבה, אולם ...</div>"	spelled
299	dav19450817-01.1.7	17 August 1945	dav	Page 7	"<div class=""txtsearchsnippet"">יורחג _גית־הדווליט נודע לנו, כי לאחר שאושר התקציב להרחבת <b class=""highlightcolor"">בית החולים הממשלתי</b> למוש־ בות בתל־אביב, יוקמו בקרוב שני בנינים</div>"	spelled
300	dav19450911-01.1.1	11 September 1945	dav	Page 1	"<div class=""txtsearchsnippet"">... _ו־17 מבין הפועלים נפצעו. _הפצו־ עיפ קשה נאטפו אל <b class=""highlightcolor"">בית החולים הממשלתי</b> בחיפה. _חמר3ז החקלאי מודיע: ישיבת הועדה לקליטת ...</div>"	spelled
301	dav19451028-01.1.4	28 October 1945	dav	Page 4	"<div class=""txtsearchsnippet"">... אבי ג'בץ בן 23 מיפו שנפצעו קשה _היעברו אל <b class=""highlightcolor"">בית החולים הממשלתי</b> ביכו, החייל _וילסון בן 29 שנגרם לו ...</div>"	spelled
302	dav19460122-01.1.3	22 January 1946	dav	Page 3	"<div class=""txtsearchsnippet"">נפלטה גוית מלוז ליד החוף בקרבת <b class=""highlightcolor"">בית־החולים הממשלתי</b> נפלטה גוית מל י ח. הרופאים קבע_^ בבדיקתם ...</div>"	maqaf
303	dav19460123-01.1.3	23 January 1946	dav	Page 3	"<div class=""txtsearchsnippet"">... בן־יהודר, בתל־אביב. המשטרה העבירה את הגופה לחדד המתים של <b class=""highlightcolor"">בית החולים הממשלתי</b> בפרדס־כץ. לזכר. ישעיהו בורמן מחר יום ה' ...</div>"	spelled
304	dav19460127-01.1.4	27 January 1946	dav	Page 4	"<div class=""txtsearchsnippet"">... בינואר, עדיין לא הובאה לקבורה, המצאת בחדר המתים של <b class=""highlightcolor"">בית החולים הממשלתי</b> בירושלים. סיבת העכוב היא שהבולשת עדיין אינה ...</div>"	spelled
305	dav19460128-01.1.4	28 January 1946	dav	Page 4	"<div class=""txtsearchsnippet"">... החולים ""הדסה'' במוצאי. שבת לפני שבוע ושהיתד• מונחת בבנין <b class=""highlightcolor"">בית החולים הממשלתי,</b> הובאה פוף סוף לקבורה. על רשיון הקבורה ...</div>"	spelled
306	dav19460207-01.1.1	7 February 1946	dav	Page 1	"<div class=""txtsearchsnippet"">אל <b class=""highlightcolor"">בית החולים הממשלתי</b> למושבות בתל־אביב. הובאו אתמול אהה""צ בסנדר של ...</div>"	spelled
307	dav19460210-01.1.3	10 February 1946	dav	Page 3	"<div class=""txtsearchsnippet"">... זכרון אחים, נחלת ציון' רה' יפו(משער יפו עד. הדאר‭, <b class=""highlightcolor"">(‬בית החולים _הממשלתי,</b> ־ דה' הנסיכה מרי (נעיין פצפה עד ...</div>"	spelled
308	dav19460220-01.1.3	20 February 1946	dav	Page 3	"<div class=""txtsearchsnippet"">... בלד־אשיך פגעה במכוניתו מכונית צבאית. הוא נפצע קשר, ומועבר <b class=""highlightcolor"">'־בית החולים הממשלתי.</b></div>"	spelled
309	dav19460310-01.1.2	10 March 1946	dav	Page 2	"<div class=""txtsearchsnippet"">... את הפצוע ונשאוהו על קרש 'במשך שלוש שעות אל <b class=""highlightcolor"">בית החולים הממשלתי</b> ""הירקון‭, ""‬ובדרך יצאה נשמתו. הקצין קליד !ממשטרת ...</div>"	spelled
310	dav19460424-01.1.1	24 April 1946	dav	Page 1	"<div class=""txtsearchsnippet"">... ד. א‭'. ‬ םפתח-תקוה העביד את עזרא לוי אל <b class=""highlightcolor"">בית החולים הממשלתי</b> בצפון תל־אביב, הוא נפצע קשה בבטנו. בשעות ...</div>"	spelled
311	dav19460428-01.1.1	28 April 1946	dav	Page 1	"<div class=""txtsearchsnippet"">... גויתו על ידי שני . קצינים מהדיויזה המוטסת אל <b class=""highlightcolor"">בית . החולים. הממשלתי</b> בצדיפין‭. ?‬ י כרב התימניפל באעה ...</div>"	spelled
312	dav19460609-01.1.3	9 June 1946	dav	Page 3	"<div class=""txtsearchsnippet"">... הממשלתי בפי שנודע לנו, עומדים להעביר מבית־ החולים ""הדסה?אל <b class=""highlightcolor"">בית החולים הממשלתי</b> את _ניוטיל ברינג, שנדקר בגב־ בקרבת כפר ...</div>"	spelled
313	dav19460703-01.1.1	3 July 1946	dav	Page 1	"<div class=""txtsearchsnippet"">... בריאותם. יש חשש לדבי, _ו־2 החשודים במחלה, הועברו אל <b class=""highlightcolor"">בית החולים הממשלתי</b> בבת _גליפ, למחלקה המיוחדת ולמחלות מידבקות. את ...</div>"	spelled
314	dav19460813-01.1.3	13 August 1946	dav	Page 3	"<div class=""txtsearchsnippet"">... לשחרר מיד את המכונית שהשתמשו בה שלשום בהתקפה על <b class=""highlightcolor"">בית החולים הממשלתי</b> בי6ו. _ ‭_*':‬רד על ידי חיילי הדיויזיה ...</div>"	spelled
315	dav19460815-01.1.4	15 August 1946	dav	Page 4	"<div class=""txtsearchsnippet"">... הממשלתי _ביגו לפי ""אידיפאע'י, מת אחד מהמשתתפים בהתקפה על <b class=""highlightcolor"">בית החולים הממשלתי</b> ביפן. ""פלשתין"" מודיע, כי יינתן פרס של ...</div>"	spelled
316	dav19460818-01.1.4	18 August 1946	dav	Page 4	"<div class=""txtsearchsnippet"">... :פש. בלןיוב ייפתחו סניפים חדשים באזור ־. צפון, ליד <b class=""highlightcolor"">בית־החולים הממשלתי,</b> ובשבו, ־ ת זאבלאוי. ; _גגחוז תל־אביב מקיף ...</div>"	maqaf
317	dav19460917-01.1.1	17 September 1946	dav	Page 1	"<div class=""txtsearchsnippet"">... ‭. 16‬מכונית המשטרה י אספת אותם והעבירה אותפ אל <b class=""highlightcolor"">בית־החולים הממשלתי.</b></div>"	maqaf
318	dav19461016-01.1.7	16 October 1946	dav	Page 7	"<div class=""txtsearchsnippet"">... י ברקתו. יהימני ת. בשעת העברת הגויה- לחדר המתים-של <b class=""highlightcolor"">בית החולים הממשלתי</b> למושבות, נמצאו שני תרמילי הכדור המתאימים לאקדו? ...</div>"	spelled
319	dav19461023-01.1.1	23 October 1946	dav	Page 1	"<div class=""txtsearchsnippet"">... י מפירי עוצר. ‭_^ ;‬ סודות בייח‭'_-'‬ח -תממ'טלת־!י_^ אחיות <b class=""highlightcolor"">בי""ח הממשלתי</b> _בירושלים וזתטו 11 על התחייבות "" -שלא לגלות ...</div>"	abbrev_short
320	dav19461105-01.1.1	5 November 1946	dav	Page 1	"<div class=""txtsearchsnippet"">... של 7 ו־3 תתיה בראש רחוב הנסיכה מרי. ליד <b class=""highlightcolor"">בית החולים הממשלתי</b> *עומד מעמר חזק של -שוטרים בריטיינ!_וארציט־ יאליים ...</div>"	spelled
321	dav19461117-01.1.4	17 November 1946	dav	Page 4	"<div class=""txtsearchsnippet"">... המשטרה ‭0_*‬ הפצוע, שהיה בבית החולים _העירזני , אל <b class=""highlightcolor"">בית החולים הממשלתי</b> ביפו. גין 'ט‭;_5‬ימ ודיירימ בטשד השבת קיבלו ...</div>"	spelled
322	dav19461119-01.1.4	19 November 1946	dav	Page 4	"<div class=""txtsearchsnippet"">... שנסעו בה — נחרנו. הפצועים וחהרוג הועברו תהילה אל <b class=""highlightcolor"">בית החולים הממשלתי</b> ברמלה ומשם, ל. הד־ _סהי_^בתל־אביב. ייי""י ואלה ...</div>"	spelled
323	dav19461120-01.1.2	20 November 1946	dav	Page 2	"<div class=""txtsearchsnippet"">... נעקרו כליל מן השטח שהוחרם. ואילו בהי המשפט הממשלתיים, <b class=""highlightcolor"">בית החולים הממשלתי</b> שאלפי אזרחים מוברחים לבוא אתם במגע _בלתי־ ...</div>"	spelled
324	dav19461211-01.1.6	11 December 1946	dav	Page 6	"<div class=""txtsearchsnippet"">... על החזקת נשק לפצועים הוגשה עזרה ראשונה ע''_י רופאי <b class=""highlightcolor"">בית החולים הממשלתי.</b> מועצת המשנה לפועלי המושבות תהי ־ ביום ...</div>"	spelled
325	dav19461225-01.1.6	25 December 1946	dav	Page 6	"<div class=""txtsearchsnippet"">... קשה לסני הידצחו. גויתו הועברה ? לחדר המתים של <b class=""highlightcolor"">בית החולים הממשלתי</b> בפרדס כ""ץ. חיפוש גגית הנרצח במוצאי שבת ...</div>"	spelled
326	dav19470101-01.1.5	1 January 1947	dav	Page 5	"<div class=""txtsearchsnippet"">... השודדים. ו‭^&gt;&lt;‬ו את עוזרו, דאוד מעירי, הביא הרופא אל <b class=""highlightcolor"">בית־החולים הממשלתי.</b> השודד עצמו י ברח מידי השנים, לאחר _שפגיע ...</div>"	maqaf
327	dav19470130-01.1.1	30 January 1947	dav	Page 1	"<div class=""txtsearchsnippet"">... בשתי מכוניות משוריינות. קוליגס הועבר מיד במכונית מד''א אל <b class=""highlightcolor"">בית החולים הממשלתי.</b> עוד בטרנ!זזה המכונית הספיקו עתונאים מהבתים השכנים ...</div>"	spelled
328	dav19470212-01.1.1	12 February 1947	dav	Page 1	"<div class=""txtsearchsnippet"">... הצבור . להשתתף בהלויה. _בי10 לפני הצהרים נתאספו לפני <b class=""highlightcolor"">בית־החולים : הממשלתי</b> בבת־גלים משלחות מטעם הסוכנות היהודית, הקהילה ־עברית ...</div>"	maqaf
329	dav19470214-01.1.10	14 February 1947	dav	Page 10	"<div class=""txtsearchsnippet"">... גויהז של עלי:אכו זיי* בן ‭, 14‬הובאה אתמול בבוקר <b class=""highlightcolor"">&gt;בית החולים _הממשלתי</b> בירושלים. הנער מצא פצצה בשדה, קי‭7?‬ק בה ...</div>"	spelled
330	dav19470219-01.1.6	19 February 1947	dav	Page 6	"<div class=""txtsearchsnippet"">... ‭_8 , ‬ל ו. ר. פאק-ג'יק, _השוגב כאגף הבריטי‭&gt;*‬ <b class=""highlightcolor"">בית החולים _הממשלתי</b> בירושלי‭. 6‬ י -</div>"	spelled
331	dav19470330-01.1.4	30 March 1947	dav	Page 4	"<div class=""txtsearchsnippet"">... _ק_&amp;שטרה, אקר נ* הסיעי אחרי כן את _האסירים אל <b class=""highlightcolor"">בית החולים הממשלתי.</b> כל . אותו זמן, אגר העד, ראה ...</div>"	spelled
332	dav19470519-01.1.4	19 May 1947	dav	Page 4	"<div class=""txtsearchsnippet"">... עשרה ימים נדוטף תייוק של ערביה ממחלקת היולדות של <b class=""highlightcolor"">בית־החולים הממשלתי</b> בחיפה. לפי מכתב אנונימי שנתקבל במשטרה נמצא התינוק ...</div>"	maqaf
333	dav19470603-01.1.1	3 June 1947	dav	Page 1	"<div class=""txtsearchsnippet"">... הדסה‭. ""‬ סרג'נט המשטרה דרש להעביר את הפצוע אל <b class=""highlightcolor"">בית החולים הממשלתי</b> ביפו. אולם הרופא סירב בטענת שהפצוע טעון ...</div>"	spelled
334	dav19470611-01.1.6	11 June 1947	dav	Page 6	"<div class=""txtsearchsnippet"">... בשנות . המלחמה בצבא הבריטי, נתמנ* . סגן מנהל <b class=""highlightcolor"">ביה''ח הממשלתי</b> בחיפה. יצהלן _גליכטון, מזכיר י משטרת אזור רחובות, ...</div>"	abbreviated
335	dav19470731-01.1.3	31 July 1947	dav	Page 3	"<div class=""txtsearchsnippet"">... _אשל נאסר בליל ה־23 ביולי והוחזק בתא האסורים של <b class=""highlightcolor"">בית־ החולים הממשלתי</b> בירושלים, שוחרר אתמול ממאסרו, בהשתדלות עורן־־ה־ין ג. ...</div>"	spelled
336	dav19470801-01.1.9	1 August 1947	dav	Page 9	"<div class=""txtsearchsnippet"">... זו בתה. הקצין ערך חיפוש ומצא את החיתולים של <b class=""highlightcolor"">בית החולים הממשלתי.</b> הרופא ד""ר נמר טוקן בדק את חיכמאת ...</div>"	spelled
337	dav19470812-01.1.1	12 August 1947	dav	Page 1	"<div class=""txtsearchsnippet"">... המלון שאלה ? לאטד, ולק אחר בן פנתה אל. <b class=""highlightcolor"">בית החולים הממשלתי</b> וזיהתה אותה. . - חלויה עירית תל־אביב ...</div>"	spelled
338	dav19470813-01.1.10	13 August 1947	dav	Page 10	"<div class=""txtsearchsnippet"">... המתנדבים והעובדים של מ. ד. א. להעביר פצועים אל <b class=""highlightcolor"">בית החולים הממשלתי</b> ביפו. הוגשה עזרה לכל הפצועים הנזקקים, בלי ...</div>"	spelled
339	dav19470813-01.1.5	13 August 1947	dav	Page 5	"<div class=""txtsearchsnippet"">... מגפת טיפוס‭25. ‬ מאנשי הכפר הועברו למחלקה מיוחדת של <b class=""highlightcolor"">בית החולים הממשלתי</b> בחיפה. על הכפר הוטל הסגר. זכר""ן־יעקב. הערב ...</div>"	maqaf,spelled
340	dav19470813-01.1.7	13 August 1947	dav	Page 7	"<div class=""txtsearchsnippet"">... לעיר שיירה גדולה של צבא והעבירה את הגויה אל <b class=""highlightcolor"">בית החולים הממשלתי</b> ביפו.</div>"	spelled
341	dav19470815-01.1.8	15 August 1947	dav	Page 8	"<div class=""txtsearchsnippet"">... חדר נוח, ס. שחסר. שכ' רסקו, בלוק 78 (ע‭_-'‬י <b class=""highlightcolor"">בי""ח הממשלתי</b> ‭_^ . (‬ _מק‭_£_"". ‬ ליבה עם פנסיון. ...</div>"	abbrev_short
342	dav19470817-01.1.3	17 August 1947	dav	Page 3	"<div class=""txtsearchsnippet"">... ביום ו' שופט חשלום . הראשי ד""ר דל""צויו. אל <b class=""highlightcolor"">בית החולים הממשלתי</b> בחיפה כדי להוציא פקודת מאטד ל־15 יום ...</div>"	spelled
343	dav19470819-01.1.4	19 August 1947	dav	Page 4	"<div class=""txtsearchsnippet"">... שה על ידי הרכבת בק''מ ‭19. 350‬ והועברה אל <b class=""highlightcolor"">בית החולים הממשלתי</b> בחיפה. משהגיעה הרכבת אל התחנה הקרובה בטנשיה, ...</div>"	spelled
344	dav19470827-01.1.6	27 August 1947	dav	Page 6	"<div class=""txtsearchsnippet"">... מנצרת ז8ט8נטורה הל-יא י השבר! ילדים _חולי־אסכריי (דיפטרי־) אל <b class=""highlightcolor"">בית־ החולים הממשלתי</b> בחיפה. אחד מהם תינוק בן 6 חדשים, ...</div>"	spelled
345	dav19470902-01.1.3	2 September 1947	dav	Page 3	"<div class=""txtsearchsnippet"">... לפנות: וק5מן, ון""א, שיכון _ראסקו 10 ע""י _הירקון טול <b class=""highlightcolor"">ביה""ח הממשלתי.</b></div>"	abbreviated
